aea_plant_id,eia_plant_id,nameplate_capacity_mw,fuel_type_code,fuel_type_name,year
65,6335,1.501,DFO,Distillate Fuel Oil,2021
66,6337,1.280,DFO,Distillate Fuel Oil,2021
66,6337,0.3,WND,Wind,2021
67,6338,2.280,DFO,Distillate Fuel Oil,2021
67,6338,0.9,WND,Wind,2021
68,6340,1.5,DFO,Distillate Fuel Oil,2021
68,6340,0.2,WND,Wind,2021
69,6342,1.080,DFO,Distillate Fuel Oil,2021
70,6341,2.25,DFO,Distillate Fuel Oil,2021
70,6341,0.26,WND,Wind,2021
71,6345,1.436,DFO,Distillate Fuel Oil,2021
72,6346,1.5,DFO,Distillate Fuel Oil,2021
72,6346,0.235,MWH,Electricity used for Energy Storage,2021
72,6346,0.224,SUN,Solar,2021
73,6339,0.7,DFO,Distillate Fuel Oil,2021
74,6347,2.112,DFO,Distillate Fuel Oil,2021
75,6348,2.634,DFO,Distillate Fuel Oil,2021
76,6349,2.006,DFO,Distillate Fuel Oil,2021
76,6349,0.1,WND,Wind,2021
77,57054,1.1,DFO,Distillate Fuel Oil,2021
78,6637,4.170,DFO,Distillate Fuel Oil,2021
79,6310,0.440,DFO,Distillate Fuel Oil,2021
80,6312,1.12,DFO,Distillate Fuel Oil,2021
81,,0.32,DFO,Distillate Fuel Oil,2021
82,6316,0.642,DFO,Distillate Fuel Oil,2021
83,6317,0.373,DFO,Distillate Fuel Oil,2021
84,6318,0.64,DFO,Distillate Fuel Oil,2021
85,6320,0.796,DFO,Distillate Fuel Oil,2021
86,6322,0.773,DFO,Distillate Fuel Oil,2021
86,6322,0.0096,SUN,Solar,2021
87,6327,0.703,DFO,Distillate Fuel Oil,2021
87,6327,0.2,WND,Wind,2021
88,6328,0.708,DFO,Distillate Fuel Oil,2021
89,,0.325,DFO,Distillate Fuel Oil,2021
90,6332,1.002,DFO,Distillate Fuel Oil,2021
91,6557,1.00,DFO,Distillate Fuel Oil,2021
93,7049,0.904,DFO,Distillate Fuel Oil,2021
94,6343,0.395,DFO,Distillate Fuel Oil,2021
95,6344,0.785,DFO,Distillate Fuel Oil,2021
95,6344,0.2,WND,Wind,2021
96,,1.05,DFO,Distillate Fuel Oil,2021
97,6350,0.325,DFO,Distillate Fuel Oil,2021
98,6351,0.495,DFO,Distillate Fuel Oil,2021
100,,0.20,DFO,Distillate Fuel Oil,2021
101,75,75.9,NG,Natural Gas,2021
101,75,2,DFO,Distillate Fuel Oil,2021
102,77,44.4,WAT,Water at Hydroelectric Turbine,2021
103,6559,346.9,NG,Natural Gas,2021
105,7182,2.2,DFO,Distillate Fuel Oil,2021
106,,0.395,DFO,Distillate Fuel Oil,2021
107,,0.284,WAT,Water at Hydroelectric Turbine,2021
107,,0.257,DFO,Distillate Fuel Oil,2021
108,,1.104,DFO,Distillate Fuel Oil,2021
109,79,29.8,CL,Coal,2021
110,7173,20.3,NG,Natural Gas,2021
111,,0.320,DFO,Distillate Fuel Oil,2021
113,,1.152,DFO,Distillate Fuel Oil,2021
113,,0.277,MWH,Electricity used for Energy Storage,2021
113,,0.2,WND,Wind,2021
113,,0.046,SUN,Solar,2021
114,,0.327,DFO,Distillate Fuel Oil,2021
115,,0.487,DFO,Distillate Fuel Oil,2021
116,,0.493,DFO,Distillate Fuel Oil,2021
116,,0.167,WND,Wind,2021
117,,0.435,DFO,Distillate Fuel Oil,2021
118,,0.575,DFO,Distillate Fuel Oil,2021
118,,0.06,WAT,Water at Hydroelectric Turbine,2021
119,,0.351,DFO,Distillate Fuel Oil,2021
120,96,312.4,NG,Natural Gas,2021
121,6291,19.4,WAT,Water at Hydroelectric Turbine,2021
122,6293,15,NG,Natural Gas,2021
123,57036,203.9,NG,Natural Gas,2021
124,,0.29,DFO,Distillate Fuel Oil,2021
125,,0.3498,DFO,Distillate Fuel Oil,2021
126,58982,6.5,WAT,Water at Hydroelectric Turbine,2021
127,6305,9.2,DFO,Distillate Fuel Oil,2021
128,390,12,WAT,Water at Hydroelectric Turbine,2021
129,6306,8.6,DFO,Distillate Fuel Oil,2021
130,7841,5.3,WO,Waste Oil,2021
131,62714,1,MWH,Electricity used for Energy Storage,2021
132,7042,1.2,WAT,Water at Hydroelectric Turbine,2021
133,789,10.7,DFO,Distillate Fuel Oil,2021
134,7862,6,WAT,Water at Hydroelectric Turbine,2021
135,,0.508,DFO,Distillate Fuel Oil,2021
136,54834,7.4,DFO,Distillate Fuel Oil,2021
137,50308,20,CL,Coal,2021
138,58380,11.5,LFG,Landfill Gas,2021
139,7180,1.0,DFO,Distillate Fuel Oil,2021
142,58425,18,WND,Wind,2021
144,7437,3.9,DFO,Distillate Fuel Oil,2021
145,,0.345,DFO,Distillate Fuel Oil,2021
146,57583,40,MWH,Electricity used for Energy Storage,2021
147,56325,23.1,DFO,Distillate Fuel Oil,2021
148,57935,24.6,WND,Wind,2021
149,6286,42.2,DFO,Distillate Fuel Oil,2021
150,6288,90,CL,Coal,2021
150,6288,2.8,DFO,Distillate Fuel Oil,2021
151,6285,121.0,DFO,Distillate Fuel Oil,2021
151,6285,60,WO,Waste Oil,2021
152,,0.563,SUN,Solar,2021
153,,0.69,DFO,Distillate Fuel Oil,2021
154,7174,2.8,DFO,Distillate Fuel Oil,2021
155,6292,76.7,NG,Natural Gas,2021
156,7367,126,WAT,Water at Hydroelectric Turbine,2021
157,55966,80.8,NG,Natural Gas,2021
158,6283,2.2,DFO,Distillate Fuel Oil,2021
159,4252,100,NG,Natural Gas,2021
159,4252,46.5,MWH,Electricity used for Energy Storage,2021
160,,0.378,DFO,Distillate Fuel Oil,2021
160,,0.25,MWH,Electricity used for Energy Storage,2021
160,,0.12,SUN,Solar,2021
161,,0.201,DFO,Distillate Fuel Oil,2021
161,,0.125,MWH,Electricity used for Energy Storage,2021
161,,0.035,WAT,Water at Hydroelectric Turbine,2021
162,7183,0.9,DFO,Distillate Fuel Oil,2021
162,7183,0.8,WAT,Water at Hydroelectric Turbine,2021
