fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0282200,Valdez,,,,Crowley,1,10000,,10000,,,,f,f,t,f,,,,,DEC,,,,61.12451171875,-146.26318359375
0282200,Valdez,,,,DOT&PF APT,5,14000,2500,11500,,,,f,f,t,f,,,,,DEC,,,,60.49951171875,-145.4796142578125
0282200,Valdez,,,455-BF-06,DOT&PF Thompson Pass MS,2,4000,,4000,,,,f,f,t,f,,,,,DEC,,,,61.14093017578125,-145.74908447265625
0282200,Valdez,,,455-BF-07,DOT&PF Valdez APT,2,3000,,3000,,,,f,f,t,f,,,,,DEC,,,,61.131103515625,-146.24700927734375
0282200,Valdez,,,455-BF-03,DOT&PF Valdez MS,2,8000,,8000,,,,f,f,t,f,,,,,DEC,,,,61.135498046875,-146.34130859375
0282200,Valdez,,,455-BF-05,GCI Communication Corp.,2,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,61.127685546875,-146.3477783203125
0282200,Valdez,,,455-BF-04,Silver Bay Seafoods,6,23300,,23300,,,,f,f,t,f,,,,,DEC,,,,61.12371826171875,-146.34600830078125
0282200,Valdez,,,,USCG SFO Valdez,1,1000,,1000,,,,f,f,t,f,,,,,DEC,,,,61.1373291015625,-146.37139892578125
0282200,Valdez,,,455-BF-01,Valdez City Schools,3,14000,,14000,,,,f,f,t,f,,,,,DEC,,,,61.138671875,-146.35888671875
0282420,Venetie,,,456-BF-05,Native Village of Venetie,6,12500,3500,9000,,,,f,t,f,f,,,,,DEC,,,,67.01727294921875,-146.42529296875
0282420,Venetie,,,456-BF-06,Yukon Flats School District,3,18900,,18900,,,,f,t,f,f,,,,,DEC,,,,67.0155029296875,-146.41571044921875
