fips_code,name,regional_corporation,borough,grid,reporting_entity,economic_region,pce_eligible,latitude,longitude
0203990,Arctic Village,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Arctic Village Grid,Arctic Village Electric Company,Interior Economic Region,t,68.12846168,-145.53554078
0204210,Atka,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,Atka Grid,City of Atka,Southwest Economic Region,t,52.19780764,-174.20019881
0204430,Atmautluak,Calista Alaska Native Regional Corporation,Bethel Census Area,Atmautluak Grid,Atmautluak Tribal Utilities,Southwest Economic Region,t,60.85729827,-162.27641211
0204500,Atqasuk,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Atqasuk Grid,North Slope Borough Power & Light,Northern Economic Region,t,70.48213652,-157.4235473
0204670,Attu Station,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,,,Southwest Economic Region,,52.82597479,-186.82919984
0205000,Badger,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.80456701,-147.41261495
0205585,Bear Creek,Chugach Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,City of Seward,Gulf Coast Economic Region,,60.16854457,-149.40230311
0205750,Beaver,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Beaver Grid,Beaver Joint Utilities,Interior Economic Region,t,66.36034846,-147.39714881
0206245,Beluga,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,61.17214851,-151.04303622
0206520,Bethel,Calista Alaska Native Regional Corporation,Bethel Census Area,Bethel Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.7911992,-161.77177087
0206630,Bettles,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Bettles Grid,Alaska Power & Telephone Company,Interior Economic Region,t,66.92186904,-151.50835587
0206850,Big Delta,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.14721319,-145.83455566
0207070,Big Lake,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.55227873,-149.81915873
0207620,Birch Creek,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Birch Creek Grid,Birch Creek Electric Company,Interior Economic Region,t,66.2629693,-145.8179463
0208740,Brevig Mission,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Brevig Mission Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,65.33448805,-166.4922015
0209600,Buckland,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Buckland Grid,City of Buckland,Northern Economic Region,t,65.97765384,-161.12902024
0209657,Buffalo Soapstone,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.69132433,-149.01110337
0209710,Butte,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.54162777,-149.03543549
0210150,Cantwell,Ahtna Alaska Native Regional Corporation,Denali Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,63.39242527,-148.89538626
0211690,Central,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Central Grid,Gold Country Energy,Interior Economic Region,t,65.57070889,-144.82193545
0211800,Chalkyitsik,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Chalkyitsik Grid,Chalkyitsik Village Council,Interior Economic Region,t,66.65040098,-143.7278962
0212350,Chase,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,62.44980587,-150.0512588
0212680,Chefornak,Calista Alaska Native Regional Corporation,Bethel Census Area,Chefornak Grid,Naterkaq Light Plant (City of Chefornak),Southwest Economic Region,t,60.15801495,-164.28034055
0212920,Chena Ridge,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.82586622,-147.96915819
0212970,Chenega,Chugach Alaska Native Regional Corporation,Chugach Census Area,Chenega Grid,Chenega Ira Council,Gulf Coast Economic Region,t,60.06559632,-148.01234038
0213230,Chevak,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Chevak Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.52861818,-165.59052769
0213340,Chickaloon,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.79624012,-148.47881249
0213450,Chicken,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,,,Interior Economic Region,,64.07262591,-141.93364877
0213550,Chignik,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Chignik Grid,City of Chignik,Southwest Economic Region,t,56.3012632,-158.41415576
0213670,Chignik Lagoon,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Chignik Lagoon Grid,Chignik Lagoon Power Utility,Southwest Economic Region,t,56.31042481,-158.53776105
0213780,Chignik Lake,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Chignik Lake Grid,Chignik Lake Electric Utility,Southwest Economic Region,t,56.25373123,-158.76308415
0213860,Chiniak,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Kodiak Grid,Kodiak Electric Assn Inc,Gulf Coast Economic Region,,57.61797554,-152.22281779
0213890,Chisana,Ahtna Alaska Native Regional Corporation,Copper River Census Area,,,Gulf Coast Economic Region,,62.05966564,-142.03526376
0214000,Chistochina,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Slana Grid,Alaska Power & Telephone Company,Gulf Coast Economic Region,t,62.56636226,-144.66418745
0214110,Chitina,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Chitina Grid,Chitina Electric Inc,Gulf Coast Economic Region,t,61.51649027,-144.44111788
0214330,Chuathbaluk,Calista Alaska Native Regional Corporation,Bethel Census Area,Chuathbaluk Grid,Middle Kuskokwim Electric,Southwest Economic Region,t,61.57491472,-159.24202177
0214880,Circle,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Circle Grid,Circle Electric Utility,Interior Economic Region,t,65.82664654,-144.06674913
0215320,Clam Gulch,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.22643138,-151.40223941
0215430,Clark's Point,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,Clarks Point Grid,City of Clark's Point,Southwest Economic Region,t,58.8345343,-158.54797691
0216360,Coffman Cove,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,56.01404249,-132.82826284
0216420,Cohoe,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.36911853,-151.31957957
0216530,Cold Bay,Aleut Alaska Native Regional Corporation,Aleutians East Borough,Cold Bay Grid,G & K Inc,Southwest Economic Region,t,55.20656795,-162.71498738
0216630,Coldfoot,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,,,Interior Economic Region,,67.25623468,-150.18959842
0216750,College,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.8569,-147.8028
0217190,Cooper Landing,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,60.49487276,-149.80840696
0217300,Copper Center,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,61.955,-145.3053
0217410,Cordova,Chugach Alaska Native Regional Corporation,Chugach Census Area,Cordova Grid,Cordova Electric Cooperative,Gulf Coast Economic Region,t,60.54406292,-145.76017488
0217670,Covenant Life,Sealaska Alaska Native Regional Corporation,Haines Borough,Upper Lynn Canal Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,59.39371811,-135.98980801
0217740,Craig,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.47604421,-133.15108263
0217850,Crooked Creek,Calista Alaska Native Regional Corporation,Bethel Census Area,Crooked Creek Grid,Middle Kuskokwim Electric,Southwest Economic Region,t,61.87042537,-158.10581652
0217960,Crown Point,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,60.41930962,-149.36954724
0218510,Deering,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Deering Grid,Ipnatchiaq Electric Company,Northern Economic Region,t,66.07667336,-162.72884219
0218620,Delta Junction,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,f,64.04716726,-145.73666819
0218675,Deltana,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,63.88714449,-145.17379154
0218805,Denali Park,Doyon Alaska Native Regional Corporation,Denali Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,63.73232007,-148.91686675
0218925,Diamond Ridge,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.6761111,-151.5575
0218950,Dillingham,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,Dillingham Grid,Nushagak Electric Cooperative,Southwest Economic Region,t,59.03937443,-158.46307877
0219060,Diomede,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Diomede Grid,Diomede Joint Utilities,Northern Economic Region,t,65.75835251,-168.95179186
0219720,Dot Lake,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Tok Grid,Alaska Power & Telephone Company,Interior Economic Region,t,63.65794205,-144.05888081
0219750,Dot Lake Village,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Tok Grid,Alaska Power & Telephone Company,Interior Economic Region,t,63.65559219,-144.04934005
0220020,Dry Creek,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,,,Interior Economic Region,,63.67518647,-144.60181163
0220380,Eagle,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Eagle Grid,Alaska Power & Telephone Company,Interior Economic Region,t,64.78893968,-141.2075972
0220600,Eagle Village,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Eagle Grid,Alaska Power & Telephone Company,Interior Economic Region,t,64.74518901,-141.04578638
0220716,Eareckson Station,Aleut Alaska Native Regional Corporation,Aleutians West Census Area,,,Southwest Economic Region,,52.7246,-185.8879
0220970,Edna Bay,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,,,Southeast Economic Region,,55.95512271,-133.65815775
0221040,Eek,Calista Alaska Native Regional Corporation,Bethel Census Area,Eek Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.21890592,-162.02949727
0221150,Egegik,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Egegik Grid,Egegik Light & Power Co,Southwest Economic Region,t,58.20907023,-157.37575053
0221370,Eielson AFB,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.6701432,-147.08105662
0221810,Ekwok,Bristol Bay Alaska Native Regional Corporation,Dillingham Census Area,New Stuyahok Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,59.35024427,-157.47804697
0222140,Elfin Cove,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Elfin Cove Grid,Elfin Cove Utility Commission,Southeast Economic Region,t,58.19391484,-136.3454861
0222250,Elim,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Elim Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,64.61655211,-162.26450688
0222910,Emmonak,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Emmonak Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,62.77694738,-164.52984686
0223460,Ester,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.85543162,-147.97679327
0223720,Eureka Roadhouse,Ahtna Alaska Native Regional Corporation,Matanuska-Susitna Borough,,Copper Valley Elec Assn Inc,Anchorage/Mat-Su Economic Region,,61.9386111,-147.1680556
0223790,Evansville,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Bettles Grid,Alaska Power & Telephone Company,Interior Economic Region,t,66.92462485,-151.50578451
0223900,Excursion Inlet,Sealaska Alaska Native Regional Corporation,Haines Borough,,,Southeast Economic Region,,58.41682002,-135.44314779
0224230,Fairbanks,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,f,64.83969225,-147.72124822
0224660,False Pass,Aleut Alaska Native Regional Corporation,Aleutians East Borough,False Pass Grid,City of False Pass,Southwest Economic Region,t,54.85503086,-163.41473878
0225000,Farm Loop,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.64000731,-149.14533535
0224980,Farmers Loop,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.88981073,-147.76059729
0225220,Ferry,Doyon Alaska Native Regional Corporation,Denali Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.01708593,-149.11573078
0225550,Fishhook,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.69322118,-149.24867697
0225880,Flat,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,,,Interior Economic Region,,62.4536,-158.0075
0226100,Fort Greely,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,63.99181799,-145.72394043
0226760,Fort Yukon,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Fort Yukon Grid,Gwitchyaa Zhee Utilities Company,Interior Economic Region,t,66.5661669,-145.24128376
0226835,Four Mile Road,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.6003,-149.1179
0226870,Fox,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.9581,-147.6183
0226910,Fox River,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.85351563,-150.91597622
0227090,Fritz Creek,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.7254375,-151.29865991
0227145,Funny River,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.5019444,-150.7622222
0227420,Gakona,Ahtna Alaska Native Regional Corporation,Copper River Census Area,,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,62.30189681,-145.30187315
0227530,Galena,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Galena Grid,City of Galena,Interior Economic Region,t,64.74265286,-156.87712316
0227640,Gambell,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Gambell Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,63.77688454,-171.71882642
0227700,Game Creek,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,,,Southeast Economic Region,,58.05586863,-135.50986598
0228200,Gateway,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.57408532,-149.23996944
0228590,Glacier View,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Copper Valley Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,,61.79346959,-147.72600629
0228740,Glennallen,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,f,62.11266845,-145.52778197
0229130,Goldstream,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,,64.9273104,-147.87946723
0229180,Golovin,Bering Straits Alaska Native Regional Corporation,Nome Census Area,Golovin Grid,Golovin Power Utilities,Northern Economic Region,t,64.54239095,-163.03671154
0229290,Goodnews Bay,Calista Alaska Native Regional Corporation,Bethel Census Area,Goodnews Bay Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,59.11822517,-161.58225677
0230060,Grayling,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Grayling Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,62.90643891,-160.06572812
0230500,Gulkana,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,62.26858008,-145.37187803
0230940,Gustavus,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Gustavus Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,58.41334287,-135.73906162
0231050,Haines,Sealaska Alaska Native Regional Corporation,Haines Borough,Upper Lynn Canal Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,59.23431397,-135.44787598
0231270,Halibut Cove,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.59769795,-151.22378748
0231710,Happy Valley,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.93501064,-151.73800293
0231765,Harding-Birch Lakes,Doyon Alaska Native Regional Corporation,Fairbanks North Star Borough,Railbelt Grid,,Interior Economic Region,,64.37150719,-146.59929367
0232150,Healy,Doyon Alaska Native Regional Corporation,Denali Borough,Railbelt Grid,Golden Valley Elec Assn Inc,Interior Economic Region,f,63.87038443,-149.00584489
0232310,Healy Lake,Doyon Alaska Native Regional Corporation,Southeast Fairbanks Census Area,Healy Lake Grid,Alaska Power & Telephone Company,Interior Economic Region,t,63.99992871,-144.73348817
0232550,Hobart Bay,Sealaska Alaska Native Regional Corporation,Petersburg Borough,,,Southeast Economic Region,,57.46425365,-133.34780625
0232810,Hollis,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.4822323,-132.6500231
0233030,Holy Cross,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Holy Cross Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,62.1984422,-159.77182893
0233140,Homer,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,f,59.64718757,-151.53200662
0233360,Hoonah,Sealaska Alaska Native Regional Corporation,Hoonah-Angoon Census Area,Hoonah Grid,Inside Passage Electric,Southeast Economic Region,t,58.10953807,-135.44570828
0233470,Hooper Bay,Calista Alaska Native Regional Corporation,Kusilvak Census Area,Hooper Bay Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,61.53087969,-166.09643323
0233580,Hope,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Chugach Electric Assn Inc,Gulf Coast Economic Region,,60.91793289,-149.62222901
0233800,Houston,Cook Inlet Alaska Native Regional Corporation,Matanuska-Susitna Borough,Railbelt Grid,Matanuska Electric Assn Inc,Anchorage/Mat-Su Economic Region,f,61.6312394,-149.80142669
0233910,Hughes,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Hughes Grid,Hughes Power & Light,Interior Economic Region,t,66.04587278,-154.25821908
0234350,Huslia,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Huslia Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,65.70183545,-156.39470172
0234460,Hydaburg,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.2059259,-132.8235136
0234570,Hyder,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,,,Southeast Economic Region,,55.9157523,-130.02551423
0234790,Igiugig,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Igiugig Grid,Igiugig Electric Company,Southwest Economic Region,t,59.32534731,-155.90354017
0235120,Iliamna,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,Newhalen Grid,I-N-N Electric Coop Inc,Southwest Economic Region,t,59.7547,-154.9061
0235890,Ivanof Bay,Bristol Bay Alaska Native Regional Corporation,Lake and Peninsula Borough,,,Southwest Economic Region,,55.90343422,-159.48416326
0236400,Juneau,Sealaska Alaska Native Regional Corporation,City and Borough of Juneau,Juneau Grid,Alaska Electric Light & Power Co.,Southeast Economic Region,f,58.29983971,-134.40663973
0236540,Kachemak,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,59.66696928,-151.45273429
0236770,Kake,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Kake Grid,Inside Passage Electric,Southeast Economic Region,t,56.97444988,-133.9447988
0236990,Kaktovik,Arctic Slope Alaska Native Regional Corporation,North Slope Borough,Kaktovik Grid,North Slope Borough Power & Light,Northern Economic Region,t,70.12661247,-143.6128541
0237250,Kalifornsky,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.48779710326106,-151.15524869328416
0237430,Kaltag,Doyon Alaska Native Regional Corporation,Yukon-Koyukuk Census Area,Kaltag Grid,Alaska Village Electric Cooperative,Interior Economic Region,t,64.32656393,-158.72493203
0237540,Karluk,Koniag Alaska Native Regional Corporation,Kodiak Island Borough,Karluk Grid,Alutiiq Power Company,Gulf Coast Economic Region,t,57.56248915,-154.43668249
0237650,Kasaan,Sealaska Alaska Native Regional Corporation,Prince of Wales-Hyder Census Area,Prince of Wales Island Grid,Alaska Power & Telephone Company,Southeast Economic Region,t,55.53962256,-132.40392924
0237975,Kasigluk,Calista Alaska Native Regional Corporation,Bethel Census Area,Kasigluk Grid,Alaska Village Electric Cooperative,Southwest Economic Region,t,60.89457329,-162.51946956
0238090,Kasilof,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.32493784,-151.25684667
0238420,Kenai,Cook Inlet Alaska Native Regional Corporation,Kenai Peninsula Borough,Railbelt Grid,Homer Electric Assn Inc,Gulf Coast Economic Region,,60.5590139,-151.24880589
0238910,Kenny Lake,Ahtna Alaska Native Regional Corporation,Copper River Census Area,Copper Valley Grid,Copper Valley Elec Assn Inc,Gulf Coast Economic Region,,61.7374181,-144.94740603
0238970,Ketchikan,Sealaska Alaska Native Regional Corporation,Ketchikan Gateway Borough,SEAPA Grid,Ketchikan Public Utilities,Southeast Economic Region,f,55.34243333,-131.64802329
0239300,Kiana,NANA Alaska Native Regional Corporation,Northwest Arctic Borough,Kiana Grid,Alaska Village Electric Cooperative,Northern Economic Region,t,66.97420282,-160.43731917
0239410,King Cove,Aleut Alaska Native Regional Corporation,Aleutians East Borough,King Cove Grid,,Southwest Economic Region,t,55.05950824,-162.31126632
0239630,King Salmon,Bristol Bay Alaska Native Regional Corporation,Bristol Bay Borough,Naknek Grid,Naknek Electric Association,Southwest Economic Region,t,58.68137127,-156.66764668
