fips_code,name,grid_id,net_generation_mwh,fuel_type,year,month
0203110,Anchor Point,215,-10.722,DFO,2021,3
0203110,Anchor Point,215,837.725,DFO,2021,3
0203110,Anchor Point,215,-10.307,DFO,2021,4
0203110,Anchor Point,215,805.268,DFO,2021,4
0203110,Anchor Point,215,-5.338,DFO,2021,5
0203110,Anchor Point,215,417.036,DFO,2021,5
0203110,Anchor Point,215,31249,WO,2021,12
0203110,Anchor Point,215,9226,DFO,2021,12
0203110,Anchor Point,215,6338,WO,2021,12
0203110,Anchor Point,215,28368.424,WO,2021,11
0203110,Anchor Point,215,6481,DFO,2021,11
0203110,Anchor Point,215,5595.914,WO,2021,11
0203110,Anchor Point,215,10.576,DFO,2021,11
0203110,Anchor Point,215,2.086,DFO,2021,11
0203110,Anchor Point,215,31702,WO,2021,10
0203110,Anchor Point,215,14323,DFO,2021,10
0203110,Anchor Point,215,7473,WO,2021,10
0203110,Anchor Point,215,29393,WO,2021,9
0203110,Anchor Point,215,18014,DFO,2021,9
0203110,Anchor Point,215,6332,WO,2021,9
0203110,Anchor Point,215,25308.54,WO,2021,8
0203110,Anchor Point,215,7581,DFO,2021,8
0203110,Anchor Point,215,5451.101,WO,2021,8
0203110,Anchor Point,215,13.46,DFO,2021,8
0203110,Anchor Point,215,2.899,DFO,2021,8
0203110,Anchor Point,215,18384.718,WO,2021,7
0203110,Anchor Point,215,4110.336,WO,2021,7
0203110,Anchor Point,215,2717,DFO,2021,7
0203110,Anchor Point,215,34.282,DFO,2021,7
0203110,Anchor Point,215,7.664,DFO,2021,7
0203110,Anchor Point,215,21021.324,WO,2021,6
0203110,Anchor Point,215,4476.088,WO,2021,6
0203110,Anchor Point,215,2062,DFO,2021,6
0203110,Anchor Point,215,13.676,DFO,2021,6
0203110,Anchor Point,215,2.912,DFO,2021,6
0203110,Anchor Point,215,13689.013,WO,2021,5
0203110,Anchor Point,215,3088,DFO,2021,5
0203110,Anchor Point,215,2829.921,WO,2021,5
0203110,Anchor Point,215,130.987,DFO,2021,5
0203110,Anchor Point,215,27.079,DFO,2021,5
0203110,Anchor Point,215,26812,WO,2021,4
0203110,Anchor Point,215,8049,DFO,2021,4
