fips_code,name,grid_id,net_generation_mwh,fuel_type,year
0224980,Farmers Loop,215,375532,WO,2021
0224980,Farmers Loop,215,386453,SUB,2021
0224980,Farmers Loop,215,567393,WAT,2021
0224980,Farmers Loop,215,2984081,NG,2021
0225220,Ferry,215,-3433,MWH,2021
0225220,Ferry,215,672,JF,2021
0225220,Ferry,215,38071,LFG,2021
0225220,Ferry,215,92790,WC,2021
0225220,Ferry,215,102061,WND,2021
0225220,Ferry,215,106468,DFO,2021
0225220,Ferry,215,273652,LIG,2021
0225220,Ferry,215,375532,WO,2021
0225220,Ferry,215,386453,SUB,2021
0225220,Ferry,215,567393,WAT,2021
0225220,Ferry,215,2984081,NG,2021
0225550,Fishhook,215,-3433,MWH,2021
0225550,Fishhook,215,672,JF,2021
0225550,Fishhook,215,38071,LFG,2021
0225550,Fishhook,215,92790,WC,2021
0225550,Fishhook,215,102061,WND,2021
0225550,Fishhook,215,106468,DFO,2021
0225550,Fishhook,215,273652,LIG,2021
0225550,Fishhook,215,375532,WO,2021
0225550,Fishhook,215,386453,SUB,2021
0225550,Fishhook,215,567393,WAT,2021
0225550,Fishhook,215,2984081,NG,2021
0225880,Flat,,,,
0226100,Fort Greely,215,-3433,MWH,2021
0226100,Fort Greely,215,672,JF,2021
0226100,Fort Greely,215,38071,LFG,2021
0226100,Fort Greely,215,92790,WC,2021
0226100,Fort Greely,215,102061,WND,2021
0226100,Fort Greely,215,106468,DFO,2021
0226100,Fort Greely,215,273652,LIG,2021
0226100,Fort Greely,215,375532,WO,2021
0226100,Fort Greely,215,386453,SUB,2021
0226100,Fort Greely,215,567393,WAT,2021
0226100,Fort Greely,215,2984081,NG,2021
0226760,Fort Yukon,119,2546,DFO,2021
0226835,Four Mile Road,215,-3433,MWH,2021
0226835,Four Mile Road,215,672,JF,2021
0226835,Four Mile Road,215,38071,LFG,2021
0226835,Four Mile Road,215,92790,WC,2021
0226835,Four Mile Road,215,102061,WND,2021
0226835,Four Mile Road,215,106468,DFO,2021
0226835,Four Mile Road,215,273652,LIG,2021
0226835,Four Mile Road,215,375532,WO,2021
0226835,Four Mile Road,215,386453,SUB,2021
0226835,Four Mile Road,215,567393,WAT,2021
0226835,Four Mile Road,215,2984081,NG,2021
0226870,Fox,215,-3433,MWH,2021
0226870,Fox,215,672,JF,2021
0226870,Fox,215,38071,LFG,2021
0226870,Fox,215,92790,WC,2021
0226870,Fox,215,102061,WND,2021
0226870,Fox,215,106468,DFO,2021
0226870,Fox,215,273652,LIG,2021
0226870,Fox,215,375532,WO,2021
0226870,Fox,215,386453,SUB,2021
0226870,Fox,215,567393,WAT,2021
0226870,Fox,215,2984081,NG,2021
0226910,Fox River,215,-3433,MWH,2021
0226910,Fox River,215,672,JF,2021
0226910,Fox River,215,38071,LFG,2021
0226910,Fox River,215,92790,WC,2021
0226910,Fox River,215,102061,WND,2021
0226910,Fox River,215,106468,DFO,2021
0226910,Fox River,215,273652,LIG,2021
0226910,Fox River,215,375532,WO,2021
0226910,Fox River,215,386453,SUB,2021
0226910,Fox River,215,567393,WAT,2021
0226910,Fox River,215,2984081,NG,2021
0227090,Fritz Creek,215,-3433,MWH,2021
0227090,Fritz Creek,215,672,JF,2021
0227090,Fritz Creek,215,38071,LFG,2021
0227090,Fritz Creek,215,92790,WC,2021
0227090,Fritz Creek,215,102061,WND,2021
0227090,Fritz Creek,215,106468,DFO,2021
0227090,Fritz Creek,215,273652,LIG,2021
0227090,Fritz Creek,215,375532,WO,2021
0227090,Fritz Creek,215,386453,SUB,2021
0227090,Fritz Creek,215,567393,WAT,2021
0227090,Fritz Creek,215,2984081,NG,2021
0227145,Funny River,215,-3433,MWH,2021
0227145,Funny River,215,672,JF,2021
0227145,Funny River,215,38071,LFG,2021
0227145,Funny River,215,92790,WC,2021
0227145,Funny River,215,102061,WND,2021
0227145,Funny River,215,106468,DFO,2021
0227145,Funny River,215,273652,LIG,2021
0227145,Funny River,215,375532,WO,2021
0227145,Funny River,215,386453,SUB,2021
0227145,Funny River,215,567393,WAT,2021
0227145,Funny River,215,2984081,NG,2021
0227420,Gakona,,,,
0227530,Galena,115,5361,DFO,2021
0227640,Gambell,46,37,WND,2021
0227640,Gambell,46,2213,DFO,2021
0227700,Game Creek,,,,
0228200,Gateway,215,-3433,MWH,2021
0228200,Gateway,215,672,JF,2021
0228200,Gateway,215,38071,LFG,2021
0228200,Gateway,215,92790,WC,2021
0228200,Gateway,215,102061,WND,2021
0228200,Gateway,215,106468,DFO,2021
0228200,Gateway,215,273652,LIG,2021
0228200,Gateway,215,375532,WO,2021
0228200,Gateway,215,386453,SUB,2021
0228200,Gateway,215,567393,WAT,2021
0228200,Gateway,215,2984081,NG,2021
0228590,Glacier View,216,12132,DFO,2021
0228590,Glacier View,216,25547,WO,2021
0228590,Glacier View,216,58733,WAT,2021
0228740,Glennallen,216,12132,DFO,2021
0228740,Glennallen,216,25547,WO,2021
0228740,Glennallen,216,58733,WAT,2021
0229130,Goldstream,215,-3433,MWH,2021
0229130,Goldstream,215,672,JF,2021
0229130,Goldstream,215,38071,LFG,2021
0229130,Goldstream,215,92790,WC,2021
0229130,Goldstream,215,102061,WND,2021
0229130,Goldstream,215,106468,DFO,2021
0229130,Goldstream,215,273652,LIG,2021
0229130,Goldstream,215,375532,WO,2021
0229130,Goldstream,215,386453,SUB,2021
0229130,Goldstream,215,567393,WAT,2021
0229130,Goldstream,215,2984081,NG,2021
0229180,Golovin,117,950,DFO,2021
0229290,Goodnews Bay,47,780,DFO,2021
0230060,Grayling,48,612,DFO,2021
0230500,Gulkana,216,12132,DFO,2021
0230500,Gulkana,216,25547,WO,2021
0230500,Gulkana,216,58733,WAT,2021
0230940,Gustavus,118,534,DFO,2021
0230940,Gustavus,118,2189,WAT,2021
0231050,Haines,32,2873,DFO,2021
0231050,Haines,32,24042,WAT,2021
0231270,Halibut Cove,215,-3433,MWH,2021
0231270,Halibut Cove,215,672,JF,2021
0231270,Halibut Cove,215,38071,LFG,2021
0231270,Halibut Cove,215,92790,WC,2021
0231270,Halibut Cove,215,102061,WND,2021
0231270,Halibut Cove,215,106468,DFO,2021
0231270,Halibut Cove,215,273652,LIG,2021
0231270,Halibut Cove,215,375532,WO,2021
0231270,Halibut Cove,215,386453,SUB,2021
0231270,Halibut Cove,215,567393,WAT,2021
0231270,Halibut Cove,215,2984081,NG,2021
0231710,Happy Valley,215,-3433,MWH,2021
0231710,Happy Valley,215,672,JF,2021
0231710,Happy Valley,215,38071,LFG,2021
0231710,Happy Valley,215,92790,WC,2021
0231710,Happy Valley,215,102061,WND,2021
0231710,Happy Valley,215,106468,DFO,2021
0231710,Happy Valley,215,273652,LIG,2021
0231710,Happy Valley,215,375532,WO,2021
0231710,Happy Valley,215,386453,SUB,2021
0231710,Happy Valley,215,567393,WAT,2021
0231710,Happy Valley,215,2984081,NG,2021
0231765,Harding-Birch Lakes,215,-3433,MWH,2021
0231765,Harding-Birch Lakes,215,672,JF,2021
0231765,Harding-Birch Lakes,215,38071,LFG,2021
0231765,Harding-Birch Lakes,215,92790,WC,2021
0231765,Harding-Birch Lakes,215,102061,WND,2021
0231765,Harding-Birch Lakes,215,106468,DFO,2021
0231765,Harding-Birch Lakes,215,273652,LIG,2021
0231765,Harding-Birch Lakes,215,375532,WO,2021
0231765,Harding-Birch Lakes,215,386453,SUB,2021
0231765,Harding-Birch Lakes,215,567393,WAT,2021
0231765,Harding-Birch Lakes,215,2984081,NG,2021
0232150,Healy,215,-3433,MWH,2021
0232150,Healy,215,672,JF,2021
0232150,Healy,215,38071,LFG,2021
0232150,Healy,215,92790,WC,2021
0232150,Healy,215,102061,WND,2021
0232150,Healy,215,106468,DFO,2021
0232150,Healy,215,273652,LIG,2021
0232150,Healy,215,375532,WO,2021
0232150,Healy,215,386453,SUB,2021
0232150,Healy,215,567393,WAT,2021
0232150,Healy,215,2984081,NG,2021
0232310,Healy Lake,11,105,DFO,2021
0232550,Hobart Bay,,,,
0232810,Hollis,23,1652,DFO,2021
0232810,Hollis,23,30596,WAT,2021
0233030,Holy Cross,49,576,DFO,2021
0233140,Homer,215,-3433,MWH,2021
0233140,Homer,215,672,JF,2021
0233140,Homer,215,38071,LFG,2021
0233140,Homer,215,92790,WC,2021
0233140,Homer,215,102061,WND,2021
0233140,Homer,215,106468,DFO,2021
0233140,Homer,215,273652,LIG,2021
0233140,Homer,215,375532,WO,2021
0233140,Homer,215,386453,SUB,2021
0233140,Homer,215,567393,WAT,2021
0233140,Homer,215,2984081,NG,2021
0233360,Hoonah,128,1488,WAT,2021
0233360,Hoonah,128,3513,DFO,2021
0233470,Hooper Bay,50,347,WND,2021
0233470,Hooper Bay,50,3313,DFO,2021
0233580,Hope,215,-3433,MWH,2021
0233580,Hope,215,672,JF,2021
0233580,Hope,215,38071,LFG,2021
0233580,Hope,215,92790,WC,2021
0233580,Hope,215,102061,WND,2021
0233580,Hope,215,106468,DFO,2021
0233580,Hope,215,273652,LIG,2021
0233580,Hope,215,375532,WO,2021
0233580,Hope,215,386453,SUB,2021
0233580,Hope,215,567393,WAT,2021
0233580,Hope,215,2984081,NG,2021
0233800,Houston,215,-3433,MWH,2021
0233800,Houston,215,672,JF,2021
0233800,Houston,215,38071,LFG,2021
0233800,Houston,215,92790,WC,2021
0233800,Houston,215,102061,WND,2021
0233800,Houston,215,106468,DFO,2021
0233800,Houston,215,273652,LIG,2021
0233800,Houston,215,375532,WO,2021
0233800,Houston,215,386453,SUB,2021
0233800,Houston,215,567393,WAT,2021
0233800,Houston,215,2984081,NG,2021
0233910,Hughes,120,537,DFO,2021
0234350,Huslia,51,1106,DFO,2021
0234460,Hydaburg,23,1652,DFO,2021
0234460,Hydaburg,23,30596,WAT,2021
0234570,Hyder,,,,
0234790,Igiugig,121,1,WAT,2021
0234790,Igiugig,121,340,DFO,2021
0235120,Iliamna,123,160,DFO,2021
0235120,Iliamna,123,3674,WAT,2021
0235890,Ivanof Bay,,,,
0236400,Juneau,222,-1318,DFO,2021
0236400,Juneau,222,433223,WAT,2021
0236540,Kachemak,215,-3433,MWH,2021
0236540,Kachemak,215,672,JF,2021
0236540,Kachemak,215,38071,LFG,2021
0236540,Kachemak,215,92790,WC,2021
0236540,Kachemak,215,102061,WND,2021
0236540,Kachemak,215,106468,DFO,2021
0236540,Kachemak,215,273652,LIG,2021
0236540,Kachemak,215,375532,WO,2021
0236540,Kachemak,215,386453,SUB,2021
0236540,Kachemak,215,567393,WAT,2021
0236540,Kachemak,215,2984081,NG,2021
0236770,Kake,129,855,WAT,2021
0236770,Kake,129,1454,DFO,2021
