fips_code,name,residential_rate,commercial_rate,industrial_rate,year
0274340,Susitna,,,,
0274350,Susitna North,0.21,0.19,,2021
0274525,Sutton-Alpine,0.21,0.19,,2021
0274610,Takotna,0.62,1.07,,2021
0274830,Talkeetna,0.21,0.19,,2021
0275050,Tanacross,0.21,0.44,,2021
0275077,Tanaina,0.21,0.19,,2021
0275160,Tanana,0.36,0.64,,2021
0275380,Tatitlek,0.41,0.92,,2021
0275480,Tazlina,0.34,0.28,,2021
0275930,Teller,0.26,0.53,,2021
0276260,Tenakee Springs,0.28,0.59,,2021
0276590,Tetlin,0.21,0.44,,2021
0277140,Thorne Bay,0.28,0.29,,2021
0277690,Togiak,0.26,0.53,,2021
0277800,Tok,0.21,0.44,,2021
0278240,Toksook Bay,0.27,0.52,,2021
0278297,Tolsona,0.34,0.28,,2021
0278350,Tonsina,0.34,0.28,,2021
0278680,Trapper Creek,0.21,0.19,,2021
0278790,Tuluksak,,,,
0279120,Tuntutuliak,0.28,0.65,,2021
0279230,Tununak,0.27,,,2021
0279780,Twin Hills,0.25,0.50,,2021
0279830,Two Rivers,0.27,0.26,0.18,2021
0279890,Tyonek,0.21,0.16,0.14,2021
0280100,Ugashik,,,,
0280660,Unalakleet,0.26,0.45,,2021
0280770,Unalaska,0.31,0.42,,2021
0281320,Upper Kalskag,0.26,0.51,,2021
0281920,Utqiagvik,0.19,0.14,,2021
0282200,Valdez,0.34,0.28,,2021
0282420,Venetie,0.40,0.90,,2021
0282750,Wainwright,0.15,0.15,,2021
0282860,Wales,0.26,0.56,,2021
0283080,Wasilla,0.21,0.19,,2021
0284000,Whale Pass,0.28,0.29,,2021
0284070,White Mountain,0.30,0.55,,2021
0284120,Whitestone,0.27,0.26,0.18,2021
0284200,Whitestone Logging Camp,0.29,0.63,,2021
0284510,Whittier,0.21,0.16,0.14,2021
0285280,Willow,0.21,0.19,,2021
0285290,Willow Creek,0.34,0.28,,2021
0285610,Wiseman,,,,
0285680,Womens Bay,0.18,0.17,0.15,2021
0286380,Wrangell,,,,2021
0286490,Yakutat,0.20,0.39,,2021
