fips_code,name,start_year,end_year,is_most_recent,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0206520,Bethel,2019,2023,1,6313,555,569,445,430,500,1079,773,639,501,348,335,61,78,30.9,1861,4452,4230,678,474,6313,3509,2804
0206630,Bettles,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0206850,Big Delta,2019,2023,1,646,45,47,78,98,39,47,39,72,63,23,95,0,0,29.7,239,407,378,118,95,646,411,235
0207070,Big Lake,2019,2023,1,3291,176,244,189,215,171,533,419,333,269,285,330,104,23,36.9,734,2557,2395,585,457,3291,1793,1498
0207620,Birch Creek,2019,2023,1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,,0,5,5,0,0,5,5,0
0208740,Brevig Mission,2019,2023,1,691,91,93,102,27,49,110,73,31,40,25,40,10,0,22,307,384,370,59,50,691,345,346
0209600,Buckland,2019,2023,1,629,71,75,75,68,52,115,56,39,20,20,10,25,3,21.6,271,358,322,51,38,629,363,266
0209657,Buffalo Soapstone,2019,2023,1,799,34,52,40,47,37,80,84,103,57,79,154,32,0,48.2,168,631,603,246,186,799,412,387
0209710,Butte,2019,2023,1,3905,233,273,330,217,260,427,489,516,311,263,352,156,78,40.1,1015,2890,2803,741,586,3905,2033,1872
0210150,Cantwell,2019,2023,1,121,4,2,3,4,0,18,15,4,9,2,25,30,5,64.5,10,111,108,61,60,121,73,48
