fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0212920,Chena Ridge,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0212920,Chena Ridge,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0212970,Chenega,101,Chenega Grid,0.5,DFO,Distillate Fuel Oil,2021
0213230,Chevak,40,Chevak Grid,0.4,WND,Wind,2021
0213230,Chevak,40,Chevak Grid,1.8,DFO,Distillate Fuel Oil,2021
0213340,Chickaloon,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0213340,Chickaloon,215,Railbelt Grid,44.5,WND,Wind,2021
0213340,Chickaloon,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0213340,Chickaloon,215,Railbelt Grid,1.9,SUN,Solar,2021
0213340,Chickaloon,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0213340,Chickaloon,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0213340,Chickaloon,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0213340,Chickaloon,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0213340,Chickaloon,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0213340,Chickaloon,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0213450,Chicken,,,,,,
0213550,Chignik,104,Chignik Grid,0.1,WAT,Water at Hydroelectric Turbine,2021
0213550,Chignik,104,Chignik Grid,0.6,DFO,Distillate Fuel Oil,2021
0213670,Chignik Lagoon,102,Chignik Lagoon Grid,0.2,WND,Wind,2021
0213670,Chignik Lagoon,102,Chignik Lagoon Grid,0.5,DFO,Distillate Fuel Oil,2021
0213780,Chignik Lake,103,Chignik Lake Grid,0.4,DFO,Distillate Fuel Oil,2021
0213860,Chiniak,223,Kodiak Grid,9.0,WND,Wind,2021
0213860,Chiniak,223,Kodiak Grid,33.6,WAT,Water at Hydroelectric Turbine,2021
0213860,Chiniak,223,Kodiak Grid,5.0,MWH,Electricity used for Energy Storage,2021
0213860,Chiniak,223,Kodiak Grid,37.2,DFO,Distillate Fuel Oil,2021
0213890,Chisana,,,,,,
0214000,Chistochina,26,Slana Grid,1.1,DFO,Distillate Fuel Oil,2021
0214110,Chitina,105,Chitina Grid,0.4,DFO,Distillate Fuel Oil,2021
0214330,Chuathbaluk,144,Chuathbaluk Grid,0.2,DFO,Distillate Fuel Oil,2021
0214880,Circle,106,Circle Grid,0.3,DFO,Distillate Fuel Oil,2021
0215320,Clam Gulch,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0215320,Clam Gulch,215,Railbelt Grid,44.5,WND,Wind,2021
0215320,Clam Gulch,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0215320,Clam Gulch,215,Railbelt Grid,1.9,SUN,Solar,2021
0215320,Clam Gulch,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
