fips_code,name,grid,capacity_mw,fuel_type,year
0209657,Buffalo Soapstone,Railbelt Grid,1403.7,Natural Gas,2021
0209657,Buffalo Soapstone,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0209657,Buffalo Soapstone,Railbelt Grid,90.0,Lignite Coal,2021
0209657,Buffalo Soapstone,Railbelt Grid,11.5,Landfill Gas,2021
0209657,Buffalo Soapstone,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0209710,Butte,Railbelt Grid,60.0,Waste Oil,2021
0209710,Butte,Railbelt Grid,44.5,Wind,2021
0209710,Butte,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0209710,Butte,Railbelt Grid,1.9,Solar,2021
0209710,Butte,Railbelt Grid,104.8,Subbituminous Coal,2021
0209710,Butte,Railbelt Grid,1403.7,Natural Gas,2021
0209710,Butte,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0209710,Butte,Railbelt Grid,90.0,Lignite Coal,2021
0209710,Butte,Railbelt Grid,11.5,Landfill Gas,2021
0209710,Butte,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0210150,Cantwell,Railbelt Grid,60.0,Waste Oil,2021
0210150,Cantwell,Railbelt Grid,44.5,Wind,2021
0210150,Cantwell,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0210150,Cantwell,Railbelt Grid,1.9,Solar,2021
0210150,Cantwell,Railbelt Grid,104.8,Subbituminous Coal,2021
0210150,Cantwell,Railbelt Grid,1403.7,Natural Gas,2021
0210150,Cantwell,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0210150,Cantwell,Railbelt Grid,90.0,Lignite Coal,2021
0210150,Cantwell,Railbelt Grid,11.5,Landfill Gas,2021
0210150,Cantwell,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0211690,Central,Central Grid,0.3,Distillate Fuel Oil,2021
0211800,Chalkyitsik,Chalkyitsik Grid,0.3,Distillate Fuel Oil,2021
0212350,Chase,Railbelt Grid,60.0,Waste Oil,2021
0212350,Chase,Railbelt Grid,44.5,Wind,2021
0212350,Chase,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0212350,Chase,Railbelt Grid,1.9,Solar,2021
0212350,Chase,Railbelt Grid,104.8,Subbituminous Coal,2021
0212350,Chase,Railbelt Grid,1403.7,Natural Gas,2021
0212350,Chase,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0212350,Chase,Railbelt Grid,90.0,Lignite Coal,2021
0212350,Chase,Railbelt Grid,11.5,Landfill Gas,2021
0212350,Chase,Railbelt Grid,231.9,Distillate Fuel Oil,2021
