fips_code,name,house_districts,senate_districts,election_region
0240840,Kobuk,{40},{T},4
0240950,Kodiak,{5},{C},1
0241210,Kodiak Station,{5},{C},1
0241280,Kokhanok,{37},{S},4
0241500,Koliganek,{37},{S},4
0241610,Kongiganak,{38},{S},4
0241720,Kotlik,{39},{T},4
0241830,Kotzebue,{40},{T},4
0241940,Koyuk,{39},{T},4
0242050,Koyukuk,{36},{R},3
0242160,Kupreanof,{2},{A},1
0242380,Kwethluk,{38},{S},4
0242490,Kwigillingok,{38},{S},4
0242805,Lake Louise,{29},{O},5
0242820,Lake Minchumina,{36},{R},3
0243040,Larsen Bay,{5},{C},1
0243260,Lazy Mountain,{25},{M},5
0243810,Levelock,{37},{S},4
0244030,Lime Village,{37},{S},4
0244580,Livengood,{36},{R},3
0245020,Loring,{1},{A},1
0245295,Lowell Point,{5},{C},1
0245460,Lower Kalskag,{37},{S},4
0245700,Lutak,{3},{B},1
0245790,McCarthy,{36},{R},3
0246010,McGrath,{36},{R},3
0246780,Manley Hot Springs,{36},{R},3
0246890,Manokotak,{37},{S},4
0247000,Marshall,{39},{T},4
0247735,Meadow Lakes,{27},{N},5
0247990,Mekoryuk,{38},{S},4
0248200,Mendeltna,{36},{R},3
0248540,Mentasta Lake,{36},{R},3
0248590,Mertarvik,{38},{S},4
0248870,Metlakatla,{1},{A},1
0249200,Mill Bay,{5},{C},1
0249530,Minto,{36},{R},3
0250080,Moose Creek,{33},{Q},3
0250190,Moose Pass,{8},{D},5
0250800,Mosquito Lake,{3},{B},1
0251180,Mountain Village,{39},{T},4
0251455,Mud Bay,{3},{B},1
0251960,Nabesna,{36},{R},3
0252060,Naknek,{37},{S},4
0252210,Nanwalek,{37},{S},4
0252390,Napakiak,{38},{S},4
0252720,Napaskiak,{38},{S},4
0252845,Naukati Bay,{2},{A},1
0252915,Nelchina,{36},{R},3
0252940,Nelson Lagoon,{37},{S},4
0253050,Nenana,{36},{R},3
0253270,Newhalen,{37},{S},4
0253710,New Stuyahok,{37},{S},4
0253820,Newtok,{38},{S},4
0253930,Nightmute,{38},{S},4
0254050,Nikiski,{8},{D},5
0254085,Nikolaevsk,{6},{C},1
0254150,Nikolai,{36},{R},3
0254260,Nikolski,{37},{S},4
0254480,Ninilchik,{6},{C},1
0254700,Noatak,{40},{T},4
0254920,Nome,{39},{T},4
0255030,Nondalton,{37},{S},4
0255140,Noorvik,{40},{T},4
0255745,North Lakes,"{28,29}","{N,O}",5
0255910,North Pole,"{32,33,34}","{P,Q}",3
0256220,Northway,{36},{R},3
0256320,Nuiqsut,{40},{T},4
0256350,Nulato,{36},{R},3
0256600,Nunam Iqua,{39},{T},4
0256680,Nunapitchuk,{38},{S},4
0257340,Old Harbor,{5},{C},1
0258330,Oscarville,{38},{S},4
0258550,Ouzinkie,{5},{C},1
0258660,Palmer,"{25,26,28,29}","{M,N,O}",5
0259320,Paxson,{36},{R},3
0259540,Pedro Bay,{37},{S},4
0259650,Pelican,{2},{A},1
0260200,Perryville,{37},{S},4
0260310,Petersburg,{2},{A},1
0260460,Petersville,{30},{O},5
0260640,Pilot Point,{37},{S},4
0260750,Pilot Station,{39},{T},4
0260860,Pitkas Point,{39},{T},4
0261080,Platinum,{37},{S},4
0261120,Pleasant Valley,{34},{Q},3
0261190,Point Baker,{2},{A},1
0261630,Point Hope,{40},{T},4
0261700,Point Lay,{40},{T},4
0261788,Point MacKenzie,{30},{O},5
0261825,Point Possession,{8},{D},5
0262125,Pope-Vannoy Landing,{37},{S},4
0262285,Portage Creek,{37},{S},4
0262510,Port Alexander,{2},{A},1
0262620,Port Alsworth,{37},{S},4
0263170,Port Clarence,{39},{T},4
0263280,Port Graham,{37},{S},4
0263390,Port Heiden,{37},{S},4
0263610,Port Lions,{5},{C},1
0263870,Port Protection,{2},{A},1
0264240,Primrose,{8},{D},5
0264380,Prudhoe Bay,{40},{T},4
0264600,Quinhagak,{38},{S},4
0264820,Rampart,{36},{R},3
0264930,Red Devil,{37},{S},4
0264980,Red Dog Mine,{40},{T},4
0265345,Ridgeway,{7},{D},5
0265590,Ruby,{36},{R},3
0265700,Russian Mission,{39},{T},4
0265800,Saint George,{37},{S},4
0266140,Saint Mary's,{39},{T},4
0266360,Saint Michael,{39},{T},4
0266470,Saint Paul,{37},{S},4
0266510,Salamatof,{8},{D},5
0266550,Salcha,{34},{Q},3
0267020,Sand Point,{37},{S},4
0267460,Savoonga,{39},{T},4
0267570,Saxman,{1},{A},1
0267680,Scammon Bay,{39},{T},4
0268230,Selawik,{40},{T},4
0268340,Seldovia,{6},{C},1
0268370,Seldovia Village,{6},{C},1
0268560,Seward,{5},{C},1
0268560,Seward,{8},{D},5
0268670,Shageluk,{36},{R},3
0268890,Shaktoolik,{39},{T},4
0269770,Shishmaref,{39},{T},4
0270100,Shungnak,{40},{T},4
0270320,Silver Springs,{36},{R},3
0270540,Sitka,{2},{A},1
0270760,Skagway,{3},{B},1
0270870,Skwentna,{30},{O},5
0270930,Slana,{36},{R},3
0271090,Sleetmute,{37},{S},4
0271640,Soldotna,{6},{C},1
0271640,Soldotna,"{7,8}",{D},5
0272135,South Lakes,{28},{N},5
0272190,South Naknek,{37},{S},4
0272230,South Van Horn,{35},{R},3
0272960,Stebbins,{39},{T},4
0272985,Steele Creek,{34},{Q},3
0273070,Sterling,{8},{D},5
0273290,Stevens Village,{36},{R},3
0273400,Stony River,{37},{S},4
0273950,Sunrise,{8},{D},5
0274340,Susitna,{30},{O},5
0274350,Susitna North,{30},{O},5
0274525,Sutton-Alpine,{29},{O},5
0274610,Takotna,{36},{R},3
0274830,Talkeetna,{30},{O},5
0275050,Tanacross,{36},{R},3
0275077,Tanaina,{28},{N},5
0275160,Tanana,{36},{R},3
0275380,Tatitlek,{5},{C},1
0275480,Tazlina,{36},{R},3
0275930,Teller,{39},{T},4
0276260,Tenakee Springs,{2},{A},1
0276590,Tetlin,{36},{R},3
0277140,Thorne Bay,{2},{A},1
0277690,Togiak,{37},{S},4
0277800,Tok,{36},{R},3
0278240,Toksook Bay,{38},{S},4
0278297,Tolsona,{36},{R},3
0278350,Tonsina,{36},{R},3
0278680,Trapper Creek,{30},{O},5
0278790,Tuluksak,{38},{S},4
0279120,Tuntutuliak,{38},{S},4
0279230,Tununak,{38},{S},4
0279780,Twin Hills,{37},{S},4
0279830,Two Rivers,{34},{Q},3
0279890,Tyonek,{37},{S},4
0280100,Ugashik,{37},{S},4
0280660,Unalakleet,{39},{T},4
0280770,Unalaska,{37},{S},4
0281320,Upper Kalskag,{37},{S},4
0281920,Utqiagvik,{40},{T},4
0282200,Valdez,{29},{O},5
0282420,Venetie,{36},{R},3
0282750,Wainwright,{40},{T},4
0282860,Wales,{39},{T},4
0283080,Wasilla,"{26,27,28,29,30}","{M,N,O}",5
0284000,Whale Pass,{1},{A},1
0284070,White Mountain,{39},{T},4
0284120,Whitestone,{36},{R},3
0284200,Whitestone Logging Camp,{2},{A},1
0284510,Whittier,{9},{E},2
0285280,Willow,{30},{O},5
0285290,Willow Creek,{36},{R},3
0285610,Wiseman,{36},{R},3
0285680,Womens Bay,{5},{C},1
0286380,Wrangell,{1},{A},1
0286490,Yakutat,{2},{A},1
