id,community_id,start_year,end_year,is_most_recent,geo_src,e_pop_age_total,m_pop_age_total,e_pop_age_under_5,m_pop_age_under_5,e_pop_age_5_9,m_pop_age_5_9,e_pop_age_10_14,m_pop_age_10_14,e_pop_age_15_19,m_pop_age_15_19,e_pop_age_20_24,m_pop_age_20_24,e_pop_age_25_34,m_pop_age_25_34,e_pop_age_35_44,m_pop_age_35_44,e_pop_age_45_54,m_pop_age_45_54,e_pop_age_55_59,m_pop_age_55_59,e_pop_age_60_64,m_pop_age_60_64,e_pop_age_65_74,m_pop_age_65_74,e_pop_age_75_84,m_pop_age_75_84,e_pop_age_85_plus,m_pop_age_85_plus,e_pop_age_median_age,m_pop_age_median_age,e_pop_age_under_18,m_pop_age_under_18,e_pop_age_18_plus,m_pop_age_18_plus,e_pop_age_21_plus,m_pop_age_21_plus,e_pop_age_62_plus,m_pop_age_62_plus,e_pop_age_65_plus,m_pop_age_65_plus,e_pop_total,m_pop_total,e_pop_male,m_pop_male,e_pop_female,m_pop_female
98,{E53D762F-9715-4E78-AE62-1FFB0D35EC03},2019,2023,1,P,616,461,71,26,60,23,45,22,68,23,34,24,209,439,36,17,31,17,24,14,14,12,15,10,9,7,0,10,27.8,10.7,214,67,402,443,367,444,31,15,24,14,616,461,241,63,375,459
99,{338A7ACA-098D-4B9F-A871-233477997E11},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
101,{7ED5387A-A8FC-42E5-B364-246EE5926A4D},2019,2023,1,C,5730,,299,15,367,35,337,37,355,36,274,32,637,25,656,17,688,18,509,58,444,54,834,27,265,24,65,24,43.7,0.7,1225,13,4505,13,4311,39,1426,53,1164,26,5730,,3169,32,2561,32
104,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522},2019,2023,1,P,1338,185,89,37,67,30,139,70,44,23,94,51,160,72,156,52,134,43,113,39,78,29,198,41,51,20,15,12,40.5,4.7,336,93,1002,132,965,129,311,53,264,47,1338,185,653,103,685,104
105,{08E18522-8DAC-4DFC-975E-26751FE81958},2019,2023,1,P,2084,241,183,33,190,51,165,36,131,38,135,35,347,115,263,272,151,111,115,87,217,288,140,103,33,18,14,9,31.3,3.8,618,66,1466,222,1405,224,348,253,187,109,2084,241,1016,180,1068,220
108,{DD04D244-B150-4D0C-83D9-26AAE567CC97},2019,2023,1,P,171,47,18,12,9,7,20,13,12,7,2,4,16,21,35,17,10,8,8,8,18,15,7,8,13,10,3,3,36.4,7.8,58,29,113,26,112,25,29,17,23,14,171,47,93,32,78,24
109,{60E92328-3CA2-4968-A065-270130CCEE76},2019,2023,1,P,1769,298,87,45,114,69,118,86,106,60,16,18,133,65,250,92,260,94,114,49,169,64,266,84,113,45,23,21,46.7,4.6,399,178,1370,180,1344,174,493,109,402,99,1769,298,920,163,849,171
112,{729C1584-C0E2-49D1-B9B4-275E3D55B9D1},2019,2023,1,P,68,29,2,3,6,6,8,6,13,9,3,4,5,7,10,8,6,6,4,4,7,7,0,10,0,10,4,5,28,16.5,19,13,49,20,39,19,11,9,4,5,68,29,24,14,44,18
113,{6202BDF2-C7DB-4E68-839D-27ED74C85EA2},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
116,{AED9D55C-5519-4DA0-A4A7-28349D8498CD},2019,2023,1,P,85,45,7,5,8,9,8,8,5,5,27,29,3,4,6,7,6,5,3,8,2,3,5,5,5,7,0,10,24.3,0.8,26,18,59,36,56,35,12,7,10,7,85,45,34,17,51,35
