community_fips_code,grid_id,connection_year,termination_year
0279780,192,0,2020
0279830,215,0,9999
0279890,215,0,9999
0280100,,,
0280660,194,0,9999
0280770,195,0,9999
0281320,52,0,9999
0281920,221,0,9999
0282200,216,0,9999
0282420,197,0,9999
0282750,166,0,9999
0282860,90,0,9999
0283080,215,0,9999
0284000,213,0,9999
0284070,198,0,9999
0284120,215,0,9999
0284200,,,
0284510,215,0,9999
0285280,215,0,9999
0285290,216,0,9999
0285610,,,
0285680,223,0,9999
0286380,217,2009,9999
0286380,228,1981,2009
0286490,91,0,9999
