community_fips_code,year,month,monthly_hdd_sum
0200870,2023,4,1381
0200870,2023,5,743
0200870,2023,6,385
0200870,2023,7,303
0200870,2023,8,323
0200870,2023,9,604
0200870,2023,10,980
0200870,2023,11,1184
0200870,2023,12,1781
0200870,2024,1,1629
0200870,2024,2,1357
0200870,2024,3,1531
0200870,2024,4,1075
0200870,2024,5,789
0200870,2024,6,320
0200870,2024,7,343
0200870,2024,8,433
0200870,2024,9,585
0200870,2024,10,978
0200870,2024,11,1358
0200870,2024,12,1337
0201090,2017,1,1031
0201090,2017,2,915
0201090,2017,3,1036
0201090,2017,4,867
0201090,2017,5,738
0201090,2017,6,560
0201090,2017,7,432
0201090,2017,8,421
0201090,2017,9,518
0201090,2017,10,679
0201090,2017,11,684
0201090,2017,12,916
0201090,2018,1,953
0201090,2018,2,742
0201090,2018,3,869
0201090,2018,4,797
0201090,2018,5,765
0201090,2018,6,572
0201090,2018,7,449
0201090,2018,8,376
0201090,2018,9,435
0201090,2018,10,634
0201090,2018,11,720
0201090,2018,12,968
0201090,2019,1,887
0201090,2019,2,738
0201090,2019,3,921
0201090,2019,4,823
0201090,2019,5,725
0201090,2019,6,518
0201090,2019,7,378
0201090,2019,8,277
0201090,2019,9,413
0201090,2019,10,610
0201090,2019,11,715
0201090,2019,12,933
0201090,2020,1,1085
0201090,2020,2,853
0201090,2020,3,896
0201090,2020,4,762
0201090,2020,5,695
0201090,2020,6,523
0201090,2020,7,400
0201090,2020,8,414
0201090,2020,9,544
0201090,2020,10,689
0201090,2020,11,800
0201090,2020,12,933
0201090,2021,1,1007
0201090,2021,2,732
0201090,2021,3,946
0201090,2021,4,800
0201090,2021,5,716
0201090,2021,6,552
0201090,2021,7,411
0201090,2021,8,399
0201090,2021,9,512
0201090,2021,10,738
0201090,2021,11,953
0201090,2021,12,815
0201090,2022,1,969
0201090,2022,2,786
0201090,2022,3,965
0201090,2022,4,862
0201090,2022,5,760
0201090,2022,6,542
0201090,2022,7,457
0201090,2022,8,438
0201090,2022,9,495
0201090,2022,10,669
0201090,2022,11,728
0201090,2022,12,811
0201090,2023,1,985
0201090,2023,2,906
0201090,2023,3,936
0201090,2023,4,888
0201090,2023,5,781
0201090,2023,6,562
0201090,2023,7,396
0201090,2023,8,400
0201090,2023,9,492
0201090,2023,10,653
0201090,2023,11,792
0201090,2023,12,1071
0201090,2024,1,1030
0201090,2024,2,946
0201090,2024,3,1034
0201090,2024,4,868
0201090,2024,5,792
0201090,2024,6,610
0201090,2024,7,431
0201090,2024,8,410
0201090,2024,9,505
0201090,2024,10,734
0201090,2024,11,828
0201090,2024,12,881
0201200,2017,1,1712
0201200,2017,2,1712
0201200,2017,3,1852
0201200,2017,4,957
0201200,2017,5,750
0201200,2017,6,350
0201200,2017,7,358
0201200,2017,8,438
0201200,2017,9,640
0201200,2017,10,942
0201200,2017,11,1138
0201200,2017,12,1257
0201200,2018,1,1645
0201200,2018,2,1186
0201200,2018,3,1384
0201200,2018,4,1053
0201200,2018,5,821
0201200,2018,6,399
0201200,2018,7,323
0201200,2018,8,418
0201200,2018,9,471
0201200,2018,10,731
0201200,2018,11,1134
0201200,2018,12,1761
0201200,2019,1,1607
0201200,2019,2,1073
0201200,2019,3,1178
0201200,2019,4,1159
0201200,2019,5,697
0201200,2019,6,321
0201200,2019,7,260
0201200,2019,8,356
0201200,2019,9,529
0201200,2019,10,952
0201200,2019,11,1330
0201200,2019,12,1677
0201200,2020,1,1994
