reporting_entity_id,year,residential_rate,commercial_rate,industrial_rate
26,2020,0.23,0.23,
26,2021,0.15,0.15,
27,2011,0.16,0.65,
27,2012,0.28,0.86,
27,2013,0.33,0.90,
27,2014,0.36,0.90,
27,2015,0.42,0.90,
27,2016,0.51,0.90,
27,2017,0.49,0.90,
27,2018,0.28,0.90,
27,2019,0.28,0.90,
27,2020,0.33,0.90,
27,2021,0.34,0.90,
28,2011,0.17,0.51,
28,2012,0.16,0.55,
28,2013,0.16,0.56,
28,2014,0.18,0.49,
28,2014,0.18,0.59,
28,2015,0.15,0.43,
28,2016,0.20,0.33,
28,2017,0.22,0.28,
28,2018,0.24,0.36,
28,2019,0.24,0.39,
28,2020,0.26,0.36,
28,2021,0.26,0.32,
29,2011,0.18,0.64,
29,2012,0.21,0.75,
29,2013,0.22,0.72,
29,2014,0.25,0.80,
29,2015,0.31,0.83,
29,2016,0.32,0.71,
29,2017,0.31,0.67,
29,2018,0.31,0.71,
29,2019,0.31,0.75,
29,2020,0.33,0.72,
29,2021,0.36,0.74,
30,2017,0.37,1.15,
30,2018,0.37,1.15,
30,2019,0.38,1.15,
30,2020,0.39,1.15,
30,2021,0.39,1.15,
31,2011,0.21,0.54,
31,2012,0.21,0.55,
31,2013,0.20,0.58,
31,2014,0.20,0.59,
31,2015,0.22,0.61,
31,2016,0.22,0.60,
31,2017,0.22,0.47,
31,2018,0.24,0.50,
31,2019,0.24,0.53,
31,2020,0.26,0.55,
31,2021,0.26,0.53,
32,2011,0.19,0.47,
32,2012,0.21,0.47,
32,2013,0.22,0.47,
32,2014,0.22,0.47,
32,2015,0.25,0.47,
32,2016,0.31,0.47,
32,2017,0.34,0.47,
32,2018,0.36,0.47,
32,2019,0.36,0.47,
32,2020,0.27,0.47,
32,2021,0.36,0.48,
33,2011,0.24,0.78,
33,2012,0.26,0.77,
33,2013,0.25,0.72,
33,2014,0.27,0.73,
33,2015,0.28,0.65,
33,2016,0.28,0.60,
33,2017,0.29,0.61,
33,2018,0.31,0.70,
33,2019,0.31,0.65,
33,2020,0.32,0.67,
33,2021,0.33,0.70,
34,2011,0.44,0.95,
34,2012,0.37,0.95,
34,2013,0.39,0.95,
34,2014,0.40,0.95,
34,2015,0.42,0.95,
34,2016,0.58,0.95,
34,2017,0.60,0.95,
34,2018,0.40,0.88,
34,2019,0.39,0.95,
34,2020,0.39,0.95,
34,2021,0.45,0.95,
35,2011,0.31,0.58,
35,2012,0.36,0.70,
35,2013,0.34,0.84,
35,2014,0.27,0.66,
35,2015,0.23,0.51,
35,2016,0.26,0.49,
35,2017,0.27,0.49,
35,2018,0.23,0.50,
35,2019,0.30,0.55,
35,2020,0.31,0.55,
35,2021,0.34,0.55,
36,2011,0.14,0.44,
36,2012,0.16,0.53,
36,2013,0.17,0.63,
36,2014,0.18,0.67,
36,2015,0.23,0.67,
36,2016,0.29,0.67,
36,2017,0.31,0.67,
36,2018,0.31,0.67,
36,2019,0.36,0.78,
36,2020,0.36,0.70,
36,2021,0.57,0.88,
37,2011,0.21,0.48,
37,2012,0.21,0.52,
37,2013,0.20,0.53,
37,2014,0.20,0.53,
37,2015,0.23,0.56,
37,2016,0.24,0.51,
37,2017,0.26,0.53,
37,2018,0.27,0.52,
37,2019,0.27,0.54,
37,2020,0.28,0.53,
37,2021,0.28,0.50,
38,2011,0.16,0.48,
38,2012,0.16,0.51,
38,2013,0.21,0.55,
38,2014,0.21,0.55,
38,2015,0.16,0.50,
38,2016,0.16,0.42,
38,2017,0.18,0.42,
38,2018,0.18,0.42,
38,2019,0.19,0.42,
38,2020,0.20,0.42,
38,2021,0.24,0.42,
39,2011,0.30,0.69,
39,2012,0.33,0.75,
39,2013,0.34,0.74,
39,2014,0.35,0.74,
39,2015,0.25,0.61,
39,2016,0.27,0.59,
39,2017,0.31,0.58,
39,2018,0.37,0.63,
39,2019,0.29,0.58,
39,2020,0.32,0.58,
39,2021,0.33,0.58,
40,2011,0.23,0.67,
40,2012,0.32,0.86,
40,2013,0.30,0.86,
40,2014,0.34,0.85,
40,2015,0.37,0.86,
40,2016,0.38,0.85,
40,2017,0.42,0.85,
40,2018,0.46,0.85,
40,2019,0.42,0.81,
40,2020,0.42,0.77,
40,2021,0.37,0.70,
41,2011,0.22,0.62,
41,2012,0.22,0.63,
41,2013,0.22,0.65,
41,2014,0.22,0.62,
41,2015,0.23,0.57,
41,2016,0.23,0.49,
41,2017,0.24,0.53,
41,2018,0.26,0.58,
41,2019,0.27,0.62,
41,2020,0.28,0.57,
41,2021,0.29,0.63,
42,2011,0.19,0.67,
42,2012,0.21,0.70,
42,2013,0.22,0.71,
42,2014,0.26,0.71,
42,2015,0.30,0.65,
42,2016,0.31,0.55,
42,2017,0.31,0.57,
42,2018,0.31,0.65,
42,2019,0.31,0.61,
42,2020,0.31,0.56,
42,2021,0.35,0.64,
43,2011,0.26,0.63,
43,2012,0.27,0.67,
43,2013,0.30,0.70,
43,2014,0.32,0.70,
43,2015,0.39,0.69,
43,2016,0.32,0.57,
43,2017,0.28,0.62,
43,2018,0.32,0.68,
43,2019,0.37,0.70,
43,2020,0.44,0.70,
43,2021,0.40,0.70,
44,2011,0.19,0.85,
44,2012,0.36,1.16,
44,2013,0.22,0.89,
44,2014,0.32,1.13,
44,2015,0.27,0.93,
44,2016,0.43,1.08,
44,2017,0.41,1.11,
44,2018,0.41,1.14,
44,2019,0.46,1.21,
44,2020,0.55,1.31,
44,2021,0.36,1.11,
45,2011,0.26,0.77,
45,2012,0.26,0.79,
45,2013,0.26,0.79,
45,2014,0.24,0.78,
45,2015,0.24,0.71,
45,2016,0.31,0.70,
45,2017,0.30,0.71,
45,2018,0.22,0.77,
45,2019,0.26,0.79,
45,2020,0.29,0.76,
45,2021,0.27,0.80,
46,2014,0.16,0.24,
46,2015,0.57,0.90,
46,2016,0.59,0.89,
46,2017,0.41,1.04,
46,2018,0.46,1.10,
46,2019,0.44,1.10,
46,2020,0.47,1.08,
46,2021,0.50,0.93,
47,2011,0.18,0.47,
47,2012,0.18,0.30,
47,2013,0.18,0.25,
47,2014,0.19,0.25,
47,2015,0.22,0.26,
47,2015,0.23,0.25,
47,2016,0.23,0.25,
47,2017,0.24,0.26,
47,2018,0.26,0.29,
47,2019,0.26,0.28,
47,2020,0.26,0.26,
47,2021,0.28,0.29,
48,2011,0.23,0.72,
48,2012,0.20,0.72,
48,2013,0.21,0.72,
48,2014,0.20,0.71,
48,2015,0.22,0.73,
48,2016,0.21,0.69,
48,2017,0.21,0.67,
48,2018,0.22,0.67,
48,2019,0.27,0.73,
48,2020,0.21,0.72,
48,2021,0.21,0.72,
49,2011,0.28,0.42,
49,2012,0.28,0.42,
49,2013,0.27,0.41,
49,2014,0.26,0.41,
49,2015,0.23,0.35,
49,2016,0.27,0.35,
49,2017,0.29,0.37,
49,2018,0.29,0.38,
49,2019,0.28,0.36,
49,2020,0.31,0.37,
49,2021,0.31,0.37,
50,2011,0.16,0.24,
50,2012,0.17,0.25,
50,2013,0.18,0.25,
50,2014,0.19,0.25,
50,2015,0.23,0.25,
50,2016,0.23,0.25,
50,2017,0.24,0.26,
50,2018,0.26,0.29,
50,2019,0.26,0.28,
50,2020,0.26,0.26,
50,2021,0.28,0.29,
51,2011,0.19,0.85,
51,2012,0.36,1.16,
51,2013,0.22,0.89,
51,2014,0.32,1.13,
51,2015,0.27,0.93,
51,2016,0.43,1.08,
51,2017,0.41,1.12,
51,2018,0.41,1.07,
51,2019,0.46,1.21,
51,2020,0.55,1.31,
51,2021,0.36,1.11,
52,2011,0.40,0.70,
52,2012,0.34,0.70,
52,2013,0.26,0.70,
52,2014,0.28,0.70,
52,2015,0.34,0.70,
52,2016,0.40,0.69,
52,2017,0.44,0.69,
52,2018,0.41,0.68,
52,2019,0.35,0.66,
52,2020,0.36,0.67,
52,2021,0.38,0.67,
53,2011,0.20,0.40,
53,2012,0.18,0.46,
53,2013,0.17,0.45,
53,2014,0.19,0.47,
53,2015,0.24,0.49,
53,2016,0.24,0.43,
53,2017,0.24,0.41,
53,2018,0.25,0.42,
53,2019,0.25,0.44,
53,2020,0.28,0.44,
53,2021,0.30,0.44,
54,2011,0.14,0.60,
54,2012,0.14,0.60,
54,2013,0.14,0.60,
54,2014,0.05,0.20,
54,2016,0.42,0.65,
54,2017,0.41,0.65,
54,2018,0.42,0.65,
54,2020,0.43,0.65,
54,2021,0.49,0.65,
55,2011,0.18,0.49,
55,2012,0.20,0.48,
55,2013,0.20,0.49,
55,2014,0.24,0.49,
55,2015,0.23,0.42,
55,2016,0.24,0.34,
55,2017,0.24,0.38,
55,2018,0.18,0.45,
55,2019,0.19,0.41,
55,2020,0.20,0.37,
55,2021,0.21,0.44,
56,2011,0.18,0.59,
56,2012,0.20,0.67,
56,2013,0.21,0.67,
56,2014,0.24,0.72,
56,2015,0.31,0.71,
56,2016,0.31,0.60,
56,2017,0.31,0.59,
56,2018,0.31,0.66,
56,2019,0.32,0.68,
56,2020,0.32,0.62,
56,2021,0.36,0.69,
57,2011,0.21,0.60,
57,2012,0.22,0.69,
57,2013,0.21,0.63,
57,2014,0.21,0.65,
57,2015,0.22,0.63,
57,2016,0.22,0.54,
57,2017,0.22,0.50,
57,2018,0.24,0.52,
57,2019,0.24,0.57,
57,2020,0.26,0.55,
57,2021,0.26,0.51,
58,2011,0.32,0.86,
58,2012,0.26,0.86,
58,2013,0.33,0.86,
58,2014,0.34,0.86,
58,2015,0.46,0.86,
58,2016,0.39,0.71,
58,2017,0.23,0.65,
58,2018,0.18,0.65,
58,2019,0.19,0.65,
58,2020,0.21,0.65,
58,2021,0.22,0.65,
59,2011,0.22,0.74,
59,2011,0.03,,
59,2012,0.24,0.74,
59,2013,0.21,0.70,
59,2014,0.25,0.69,
59,2015,0.22,0.69,
59,2016,0.23,0.68,
59,2017,0.23,,
59,2018,0.24,,
59,2019,0.24,,
59,2020,0.26,,
59,2021,0.26,,
60,2011,0.38,0.75,
60,2012,0.41,0.78,
60,2013,0.43,0.79,
60,2014,0.41,0.78,
60,2015,0.30,0.72,
60,2016,0.21,0.63,
60,2017,0.23,0.60,
60,2018,0.23,0.61,
60,2019,0.21,0.67,
60,2020,0.26,0.66,
60,2021,0.31,0.66,
61,2011,0.23,0.59,
61,2012,0.21,0.59,
61,2013,0.20,0.60,
61,2014,0.20,0.62,
61,2015,0.22,0.62,
61,2016,0.22,0.55,
61,2017,0.22,0.52,
61,2018,0.23,0.52,
61,2019,0.24,0.59,
61,2020,0.26,0.55,
61,2021,0.26,0.51,
62,2011,0.21,0.55,
62,2012,0.21,0.59,
62,2013,0.20,0.57,
62,2014,0.20,0.58,
62,2015,0.22,0.59,
62,2016,0.23,0.51,
62,2017,0.23,0.47,
62,2018,0.25,0.51,
62,2019,0.25,0.53,
62,2020,0.26,0.53,
62,2021,0.27,0.51,
63,2011,0.27,0.51,
63,2012,0.17,0.42,
63,2013,0.15,0.42,
63,2014,0.15,0.42,
63,2015,0.16,0.42,
63,2016,0.29,0.45,
63,2017,0.32,0.46,
63,2018,0.32,0.43,
63,2019,0.26,0.55,
63,2020,0.34,0.62,
63,2021,0.35,0.62,
64,2011,0.21,0.60,
64,2012,0.15,0.65,
64,2013,0.18,0.67,
64,2014,0.19,0.63,
64,2015,0.25,0.66,
64,2016,0.30,0.68,
64,2017,0.30,0.68,
64,2018,0.30,0.66,
64,2019,0.33,0.66,
64,2020,0.31,0.66,
64,2021,0.29,0.64,
65,2011,0.56,0.56,
65,2012,0.35,0.61,
65,2013,0.35,0.67,
65,2014,0.33,0.67,
65,2015,0.37,0.67,
65,2016,0.43,0.67,
65,2017,0.47,0.67,
65,2018,0.44,0.63,
65,2019,0.37,0.60,
65,2020,0.37,0.60,
65,2021,0.41,0.60,
66,2011,0.21,0.52,
66,2012,0.21,0.56,
66,2013,0.20,0.54,
66,2014,0.20,0.54,
66,2015,0.23,0.57,
66,2016,0.23,0.51,
66,2017,0.25,0.52,
66,2018,0.27,0.52,
66,2019,0.27,0.55,
66,2020,0.28,0.58,
66,2021,0.27,0.53,
67,2011,0.25,0.58,
67,2012,0.25,0.60,
67,2013,0.27,0.60,
67,2014,0.25,0.59,
67,2015,0.21,0.52,
67,2016,0.18,0.39,
67,2017,0.23,0.38,
67,2018,0.25,0.38,
67,2019,0.27,0.42,
67,2020,0.25,0.39,
67,2021,0.25,0.33,
68,2011,0.21,0.59,
68,2012,0.22,0.63,
68,2013,0.21,0.63,
68,2014,0.21,0.63,
68,2015,0.22,0.64,
68,2016,0.22,0.61,
68,2017,0.22,0.51,
68,2018,0.24,0.52,
68,2019,0.24,0.54,
68,2020,0.26,0.55,
68,2021,0.26,0.53,
69,2011,0.21,0.56,
69,2012,0.22,0.64,
69,2013,0.21,0.63,
69,2014,0.21,0.64,
69,2015,0.22,0.62,
69,2016,0.22,0.49,
69,2017,0.22,0.48,
69,2018,0.24,0.53,
69,2019,0.24,0.56,
69,2020,0.25,0.54,
69,2021,0.26,0.52,
70,2011,0.28,0.45,
70,2012,0.26,0.44,
70,2013,0.30,0.47,
70,2014,0.29,0.44,
70,2014,0.26,0.44,
70,2015,0.29,0.42,
70,2016,0.30,0.43,
70,2017,0.31,0.45,
70,2018,0.34,0.44,
70,2019,0.33,0.44,
70,2020,0.34,0.42,
70,2021,0.38,0.49,
71,2011,0.15,0.22,
71,2012,0.17,0.24,
71,2013,0.18,0.25,
71,2014,0.26,0.32,
71,2015,0.22,0.26,
71,2016,0.23,0.26,
71,2017,0.24,0.27,
71,2018,0.25,0.28,
71,2019,0.25,0.27,
71,2020,0.26,0.27,
71,2021,0.28,0.29,
72,2011,0.23,0.83,
72,2012,0.35,0.94,
72,2013,1.17,1.94,
72,2014,1.58,2.40,
72,2015,1.45,2.26,
72,2017,0.54,0.85,
72,2018,0.42,1.06,
72,2019,0.32,0.83,
72,2020,0.32,0.80,
72,2021,0.36,0.78,
73,2011,0.16,0.24,
73,2012,0.17,0.25,
73,2013,0.18,0.25,
73,2014,0.19,0.25,
73,2015,0.23,0.25,
73,2016,0.23,0.25,
73,2017,0.24,0.26,
73,2018,0.26,0.29,
73,2019,0.26,0.28,
73,2020,0.26,0.26,
73,2021,0.28,0.29,
74,2011,0.21,0.53,
74,2012,0.21,0.59,
74,2013,0.20,0.60,
74,2014,0.20,0.60,
74,2015,0.22,0.58,
74,2016,0.22,0.53,
74,2017,0.22,,
74,2018,0.24,,
74,2019,0.24,,
74,2020,0.26,,
74,2021,0.26,,
75,2011,0.22,0.62,
75,2012,0.22,0.63,
75,2013,0.22,0.65,
75,2014,0.22,0.62,
75,2015,0.23,0.57,
75,2016,0.23,0.49,
75,2017,0.24,0.53,
75,2018,0.26,0.58,
75,2019,0.27,0.62,
75,2020,0.28,0.57,
75,2021,0.29,0.63,
76,2011,0.21,0.52,
76,2012,0.21,0.60,
76,2013,0.20,0.56,
76,2014,0.20,0.55,
76,2015,0.22,0.58,
76,2016,0.22,0.50,
76,2017,0.24,0.49,
76,2018,0.25,0.51,
76,2019,0.26,0.53,
76,2020,0.27,0.56,
76,2021,0.27,0.50,
77,2011,0.21,0.71,
77,2012,0.14,0.71,
77,2013,0.14,0.71,
77,2014,0.15,0.71,
77,2015,0.15,0.71,
77,2016,0.17,0.71,
77,2017,0.19,0.71,
77,2018,0.18,0.71,
77,2019,0.19,0.71,
77,2020,0.25,0.71,
77,2021,0.22,0.71,
78,2011,0.21,0.54,
78,2012,0.21,0.59,
78,2013,0.20,0.60,
78,2014,0.20,0.60,
78,2015,0.22,0.60,
78,2016,0.22,0.55,
78,2017,0.22,,
78,2018,0.24,,
78,2019,0.24,,
78,2020,0.25,,
78,2021,0.26,,
79,2011,0.16,0.24,
79,2012,0.17,0.25,
79,2013,0.18,0.25,
79,2014,0.19,0.25,
79,2015,0.23,0.25,
79,2016,0.23,0.25,
79,2017,0.24,0.26,
79,2018,0.26,0.29,
79,2019,0.26,0.28,
79,2020,0.26,0.26,
79,2021,0.28,0.29,
80,2011,0.39,0.80,
80,2012,0.29,0.81,
80,2013,0.27,0.81,
80,2014,0.23,0.81,
80,2015,0.28,0.81,
80,2016,0.33,0.81,
80,2017,0.27,0.90,
80,2018,0.29,0.92,
80,2019,0.30,0.92,
80,2020,0.30,0.92,
80,2021,0.24,0.92,
81,2011,0.33,0.59,
81,2012,0.38,0.61,
81,2013,0.41,0.60,
81,2014,0.35,0.57,
81,2015,0.32,0.57,
81,2016,0.25,0.57,
81,2017,0.23,0.61,
81,2018,0.26,0.65,
81,2019,0.27,0.65,
81,2020,0.27,0.64,
81,2021,0.28,0.64,
82,2011,0.22,0.62,
82,2012,0.22,0.63,
82,2013,0.22,0.65,
82,2014,0.22,0.62,
82,2015,0.23,0.57,
82,2016,0.23,0.49,
82,2017,0.24,0.53,
82,2018,0.26,0.58,
82,2019,0.27,0.62,
82,2020,0.28,0.57,
82,2021,0.29,0.63,
83,2011,0.14,0.15,
83,2012,0.14,0.15,
83,2013,0.14,0.15,
83,2014,0.15,0.15,
83,2015,0.16,0.16,
83,2016,0.15,0.15,
83,2017,0.21,0.21,
83,2018,0.26,0.26,
83,2019,0.20,0.20,
83,2020,0.51,0.51,
83,2021,0.15,0.15,
84,2011,0.21,0.58,
84,2012,0.22,0.64,
84,2013,0.20,0.61,
84,2014,0.24,0.61,
84,2015,0.22,0.60,
84,2016,0.22,0.56,
84,2017,0.22,0.51,
84,2018,0.24,0.51,
84,2019,0.24,0.54,
84,2020,0.25,0.54,
84,2021,0.26,0.51,
85,2011,0.21,0.52,
85,2012,0.21,0.57,
85,2013,0.20,0.58,
85,2014,0.20,0.60,
85,2015,0.22,0.62,
85,2016,0.22,0.58,
85,2017,0.22,0.54,
85,2018,0.24,0.53,
85,2019,0.24,,
85,2020,0.26,,
85,2021,0.26,,
86,2011,0.25,0.60,
86,2012,0.23,0.64,
86,2013,0.25,0.71,
86,2014,0.21,0.70,
86,2015,0.19,0.70,
86,2016,0.23,0.70,
86,2017,0.30,0.70,
86,2018,0.29,0.70,
86,2019,0.29,0.70,
86,2020,0.30,0.70,
86,2021,0.32,0.70,
87,2011,0.21,0.53,
87,2012,0.21,0.58,
87,2013,0.20,0.57,
87,2014,0.20,0.56,
87,2015,0.23,0.59,
87,2016,0.23,0.52,
87,2017,0.23,0.49,
87,2018,0.25,0.50,
87,2019,0.25,0.52,
87,2020,0.27,0.55,
87,2021,0.27,,
88,2011,0.22,0.65,
88,2012,0.22,0.67,
88,2013,0.21,0.65,
88,2014,0.21,0.67,
88,2015,0.22,0.65,
88,2016,0.22,0.59,
88,2017,0.22,0.51,
88,2018,0.24,0.56,
88,2019,0.24,0.63,
88,2020,0.26,0.56,
88,2021,0.26,0.53,
89,2011,0.16,0.28,
89,2012,0.21,0.30,
89,2013,0.22,0.30,
89,2014,0.23,0.30,
89,2015,0.24,0.30,
89,2016,0.29,0.30,
89,2017,0.30,0.30,
89,2017,0.30,0.30,
90,2011,0.26,0.57,
90,2012,0.22,0.57,
90,2013,0.19,0.43,
90,2014,0.22,0.61,
90,2015,0.22,0.64,
90,2016,0.20,0.29,
90,2017,0.22,0.45,
90,2018,0.24,0.53,
90,2019,0.23,0.68,
90,2020,0.20,0.69,
90,2021,0.20,0.69,
91,2011,0.22,0.64,
91,2012,0.22,0.67,
91,2013,0.21,0.65,
91,2014,0.21,0.66,
91,2015,0.22,0.67,
91,2016,0.22,0.55,
91,2017,0.22,0.53,
91,2018,0.24,0.56,
91,2019,0.24,0.60,
91,2020,0.25,0.54,
91,2021,0.26,0.52,
92,2011,0.16,0.24,
92,2012,0.17,0.25,
92,2013,0.18,0.25,
92,2014,0.19,0.25,
92,2015,0.23,0.25,
92,2016,0.23,0.25,
92,2017,0.24,0.26,
92,2018,0.26,0.29,
92,2019,0.26,0.28,
92,2020,0.26,0.27,
92,2021,0.28,0.29,
93,2011,0.22,0.62,
93,2012,0.22,0.63,
