grid_id,capacity_mw,fuel_type_code,fuel_type_name,year
81,1.4,DFO,Distillate Fuel Oil,2021
80,0.8,DFO,Distillate Fuel Oil,2021
79,0.4,DFO,Distillate Fuel Oil,2021
78,2.3,DFO,Distillate Fuel Oil,2021
77,1.1,DFO,Distillate Fuel Oil,2021
76,1.5,DFO,Distillate Fuel Oil,2021
75,4.6,DFO,Distillate Fuel Oil,2021
72,0.9,DFO,Distillate Fuel Oil,2021
71,1.3,DFO,Distillate Fuel Oil,2021
70,1.5,DFO,Distillate Fuel Oil,2021
69,1.0,DFO,Distillate Fuel Oil,2021
68,1.0,DFO,Distillate Fuel Oil,2021
67,1.6,DFO,Distillate Fuel Oil,2021
66,1.3,DFO,Distillate Fuel Oil,2021
65,1.2,DFO,Distillate Fuel Oil,2021
63,0.7,DFO,Distillate Fuel Oil,2021
62,0.7,DFO,Distillate Fuel Oil,2021
61,1.2,DFO,Distillate Fuel Oil,2021
60,1.0,DFO,Distillate Fuel Oil,2021
59,1.4,DFO,Distillate Fuel Oil,2021
58,1.1,DFO,Distillate Fuel Oil,2021
57,1.2,DFO,Distillate Fuel Oil,2021
55,3.0,DFO,Distillate Fuel Oil,2021
54,0.8,DFO,Distillate Fuel Oil,2021
52,1.1,DFO,Distillate Fuel Oil,2021
51,0.8,DFO,Distillate Fuel Oil,2021
50,2.2,DFO,Distillate Fuel Oil,2021
49,0.6,DFO,Distillate Fuel Oil,2021
48,0.4,DFO,Distillate Fuel Oil,2021
47,0.6,DFO,Distillate Fuel Oil,2021
46,2.0,DFO,Distillate Fuel Oil,2021
45,3.2,DFO,Distillate Fuel Oil,2021
43,1.3,DFO,Distillate Fuel Oil,2021
41,1.1,DFO,Distillate Fuel Oil,2021
40,1.8,DFO,Distillate Fuel Oil,2021
39,1.0,DFO,Distillate Fuel Oil,2021
36,0.4,DFO,Distillate Fuel Oil,2021
35,1.1,DFO,Distillate Fuel Oil,2021
34,12.9,DFO,Distillate Fuel Oil,2021
32,14.9,DFO,Distillate Fuel Oil,2021
26,1.1,DFO,Distillate Fuel Oil,2021
23,15.1,DFO,Distillate Fuel Oil,2021
15,5.2,DFO,Distillate Fuel Oil,2021
14,10.7,DFO,Distillate Fuel Oil,2021
12,1.1,DFO,Distillate Fuel Oil,2021
