community_fips_code,name,estimated_per_capita_income,margin_error_per_capita_income,estimated_population_below_poverty,margin_error_population_below_poverty,estimated_population_poverty_determined,margin_error_popuation_poverty_determined,start_year,end_year
0200870,Akiak,17344,3970,87,61,273,87,2019,2023
0201090,Akutan,25384,6884,,,,,2007,2011
0201090,Akutan,24680,3872,128,112,932,284,2008,2012
0201090,Akutan,25370,3732,142,107,932,254,2009,2013
0201090,Akutan,26513,3902,128,91,879,216,2010,2014
0201090,Akutan,26313,3752,145,79,899,204,2011,2015
0201090,Akutan,28335,3387,130,72,782,181,2012,2016
0201090,Akutan,26978,3952,152,105,801,294,2013,2017
0201090,Akutan,31040,4913,135,90,758,254,2014,2018
0201090,Akutan,32871,5520,119,82,731,230,2015,2019
0201090,Akutan,34274,5759,133,84,760,232,2016,2020
0201090,Akutan,34515,5515,157,72,700,186,2017,2021
0201090,Akutan,45054,21144,184,72,911,281,2018,2022
0201090,Akutan,54099,22273,128,77,737,215,2019,2023
0201200,Alakanuk,14141,2273,,,,,2007,2011
0201200,Alakanuk,11868,2211,192,41,570,76,2008,2012
0201200,Alakanuk,10063,1426,257,49,669,71,2009,2013
0201200,Alakanuk,8754,1134,321,66,728,71,2010,2014
0201200,Alakanuk,8293,1097,344,60,771,62,2011,2015
0201200,Alakanuk,8217,1015,318,65,730,69,2012,2016
0201200,Alakanuk,9521,1314,323,60,729,60,2013,2017
0201200,Alakanuk,10112,1239,330,64,835,77,2014,2018
0201200,Alakanuk,9812,1649,346,75,812,95,2015,2019
0201200,Alakanuk,10386,1829,463,124,1063,179,2016,2020
0201200,Alakanuk,10613,2083,456,127,1065,187,2017,2021
0201200,Alakanuk,10905,2280,447,155,1138,233,2018,2022
0201200,Alakanuk,11599,2221,394,144,988,215,2019,2023
0201305,Alatna,,,,,,,2007,2011
0201305,Alatna,,,0,10,1,2,2008,2012
0201305,Alatna,,,0,9,1,2,2009,2013
0201305,Alatna,,,0,9,2,3,2010,2014
0201305,Alatna,,,0,9,1,2,2011,2015
0201305,Alatna,,,0,9,1,3,2012,2016
0201305,Alatna,,,0,9,0,9,2013,2017
0201305,Alatna,,,0,9,4,5,2014,2018
0201305,Alatna,25908,3578,0,9,13,9,2015,2019
0201305,Alatna,18123,5178,4,5,30,18,2016,2020
0201305,Alatna,18910,4301,5,6,41,22,2017,2021
0201305,Alatna,22286,5325,2,4,36,21,2018,2022
0201305,Alatna,34600,8524,1,3,22,17,2019,2023
0201390,Alcan Border,,,,,,,2007,2011
0201390,Alcan Border,,,0,10,27,39,2008,2012
0201390,Alcan Border,,,0,9,28,39,2009,2013
0201390,Alcan Border,,,0,9,0,9,2010,2014
0201390,Alcan Border,16576,10828,0,9,51,58,2011,2015
0201390,Alcan Border,27697,12436,0,9,36,39,2012,2016
0201390,Alcan Border,20515,13907,0,9,65,82,2013,2017
0201390,Alcan Border,14976,6735,0,9,177,102,2014,2018
0201390,Alcan Border,15788,8044,0,9,176,104,2015,2019
0201390,Alcan Border,11821,9512,0,10,121,114,2016,2020
0201390,Alcan Border,10966,7591,0,10,170,119,2017,2021
0201390,Alcan Border,9290,6987,0,10,178,132,2018,2022
0201390,Alcan Border,69200,55037,0,10,5,2,2019,2023
0201420,Aleknagik,18230,5199,,,,,2007,2011
0201420,Aleknagik,18256,3417,27,20,208,65,2008,2012
0201420,Aleknagik,19200,3707,11,10,208,70,2009,2013
0201420,Aleknagik,19935,3874,18,9,231,64,2010,2014
0201420,Aleknagik,20403,3500,23,16,199,36,2011,2015
0201420,Aleknagik,21436,3727,27,13,189,37,2012,2016
0201420,Aleknagik,23108,3771,25,15,190,34,2013,2017
0201420,Aleknagik,20956,4379,44,22,204,39,2014,2018
0201420,Aleknagik,23732,5225,30,19,179,39,2015,2019
0201420,Aleknagik,23125,5521,24,18,133,44,2016,2020
0201420,Aleknagik,22622,7871,26,18,125,37,2017,2021
0201420,Aleknagik,27741,17556,24,16,121,41,2018,2022
0201420,Aleknagik,32580,9398,16,10,109,33,2019,2023
0201560,Aleneva,,,,,,,2007,2011
0201560,Aleneva,,,0,10,68,101,2008,2012
0201560,Aleneva,,,0,9,64,97,2009,2013
0201560,Aleneva,,,0,9,63,87,2010,2014
0201560,Aleneva,,,0,9,59,81,2011,2015
0201560,Aleneva,,,0,9,45,58,2012,2016
0201560,Aleneva,,,0,9,33,43,2013,2017
0201560,Aleneva,,,0,9,27,38,2014,2018
0201560,Aleneva,,,0,9,27,39,2015,2019
0201560,Aleneva,,,0,10,24,36,2016,2020
0201560,Aleneva,,,0,10,0,10,2017,2021
0201560,Aleneva,,,0,10,0,10,2018,2022
0201560,Aleneva,,,0,10,0,10,2019,2023
0201860,Allakaket,15611,3939,,,,,2007,2011
0201860,Allakaket,11702,3206,21,16,46,18,2008,2012
0201860,Allakaket,12859,3536,18,14,66,20,2009,2013
0201860,Allakaket,16690,3570,9,8,72,17,2010,2014
0201860,Allakaket,17209,3929,7,5,77,32,2011,2015
0201860,Allakaket,18211,3765,11,6,105,22,2012,2016
0201860,Allakaket,15277,3550,53,23,184,35,2013,2017
0201860,Allakaket,13849,2910,72,25,168,29,2014,2018
0201860,Allakaket,11386,2957,106,34,209,46,2015,2019
0201860,Allakaket,16981,8735,97,31,209,55,2016,2020
0201860,Allakaket,14175,8748,126,45,213,64,2017,2021
0201860,Allakaket,15521,10942,137,60,220,79,2018,2022
0201860,Allakaket,18569,13648,95,55,173,77,2019,2023
0201970,Ambler,14767,5004,,,,,2007,2011
0201970,Ambler,13204,3662,100,67,240,89,2008,2012
0201970,Ambler,13444,3291,125,61,290,71,2009,2013
0201970,Ambler,15141,3132,112,53,329,71,2010,2014
0201970,Ambler,17226,3236,60,30,280,39,2011,2015
0201970,Ambler,15529,2706,68,27,295,39,2012,2016
0201970,Ambler,15937,4150,83,29,299,40,2013,2017
0201970,Ambler,18502,2882,68,25,299,74,2014,2018
0201970,Ambler,18154,3250,71,38,260,89,2015,2019
0201970,Ambler,17603,3256,79,31,275,97,2016,2020
0201970,Ambler,16314,4107,62,25,273,108,2017,2021
0201970,Ambler,16948,4351,68,29,277,108,2018,2022
0201970,Ambler,16320,6841,63,30,201,57,2019,2023
0202080,Anaktuvuk Pass,18946,4671,,,,,2007,2011
0202080,Anaktuvuk Pass,18936,3551,25,16,344,79,2008,2012
0202080,Anaktuvuk Pass,18487,4113,47,28,304,67,2009,2013
0202080,Anaktuvuk Pass,19122,3879,44,20,233,59,2010,2014
0202080,Anaktuvuk Pass,18997,5152,65,53,247,85,2011,2015
0202080,Anaktuvuk Pass,16900,3525,70,40,271,92,2012,2016
0202080,Anaktuvuk Pass,16682,4037,97,69,289,102,2013,2017
0202080,Anaktuvuk Pass,17623,4263,84,61,273,90,2014,2018
0202080,Anaktuvuk Pass,17934,4647,99,77,311,107,2015,2019
0202080,Anaktuvuk Pass,21315,6870,58,28,248,80,2016,2020
0202080,Anaktuvuk Pass,20654,5413,92,50,259,84,2017,2021
0202080,Anaktuvuk Pass,19882,6700,82,51,219,80,2018,2022
0202080,Anaktuvuk Pass,24486,6745,48,38,273,88,2019,2023
0203000,Anchorage,35580,672,,,,,2007,2011
0203000,Anchorage,36145,756,22029,1692,285147,589,2008,2012
0203000,Anchorage,36214,513,22874,2083,288613,513,2009,2013
0203000,Anchorage,36508,566,24091,2125,291067,539,2010,2014
0203000,Anchorage,36920,758,23914,2025,292016,566,2011,2015
0203000,Anchorage,37864,648,23652,1787,292059,536,2012,2016
0203000,Anchorage,38977,714,23510,1965,290452,528,2013,2017
0203000,Anchorage,39839,705,26498,2203,288946,573,2014,2018
0203000,Anchorage,41415,817,25861,1831,286504,498,2015,2019
0203000,Anchorage,41127,737,25231,2291,285133,534,2016,2020
0203000,Anchorage,43125,760,26182,2170,286144,533,2017,2021
0203000,Anchorage,46554,953,27415,2611,284386,399,2018,2022
0203000,Anchorage,49338,1113,26226,2194,282916,11186,2019,2023
0203110,Anchor Point,26940,3335,,,,,2007,2011
0203110,Anchor Point,27357,2937,211,86,2067,210,2008,2012
0203110,Anchor Point,27745,3049,240,80,2188,192,2009,2013
0203110,Anchor Point,28242,2746,244,85,2174,213,2010,2014
0203110,Anchor Point,28842,2800,196,67,1939,212,2011,2015
0203110,Anchor Point,30114,2752,171,54,2014,206,2012,2016
0203110,Anchor Point,30864,3035,186,59,2053,225,2013,2017
0203110,Anchor Point,30212,3131,183,59,2090,206,2014,2018
0203110,Anchor Point,30717,2904,197,76,2125,202,2015,2019
0203110,Anchor Point,30778,2968,207,81,2243,258,2016,2020
0203110,Anchor Point,31832,3324,287,104,2288,257,2017,2021
0203110,Anchor Point,34845,3558,287,80,2260,238,2018,2022
0203110,Anchor Point,38343,3214,286,74,2285,262,2019,2023
0203220,Anderson,50245,12853,,,,,2007,2011
0203220,Anderson,46734,8857,4,8,208,69,2008,2012
0203220,Anderson,44005,12889,0,9,188,82,2009,2013
0203220,Anderson,40657,8467,0,9,192,59,2010,2014
0203220,Anderson,43367,6587,0,9,160,40,2011,2015
0203220,Anderson,47776,8087,0,9,131,36,2012,2016
0203220,Anderson,48629,9329,3,7,113,43,2013,2017
0203220,Anderson,46866,11585,3,6,98,52,2014,2018
0203220,Anderson,44731,8256,6,9,120,48,2015,2019
0203220,Anderson,41522,10681,10,10,151,73,2016,2020
0203220,Anderson,39143,8672,11,15,130,86,2017,2021
0203220,Anderson,41469,9636,4,6,124,45,2018,2022
0203220,Anderson,41338,9782,8,9,125,44,2019,2023
0203440,Angoon,17366,5582,,,,,2007,2011
0203440,Angoon,21897,4663,88,51,396,79,2008,2012
0203440,Angoon,30101,16065,102,51,447,106,2009,2013
0203440,Angoon,30009,20391,103,41,416,104,2010,2014
0203440,Angoon,28623,16485,68,29,382,89,2011,2015
0203440,Angoon,32586,17182,105,52,448,103,2012,2016
0203440,Angoon,34320,16322,113,50,535,123,2013,2017
0203440,Angoon,37039,14554,91,32,523,120,2014,2018
0203440,Angoon,38483,15530,104,34,506,132,2015,2019
0203440,Angoon,37891,14296,77,26,497,121,2016,2020
0203440,Angoon,33165,17512,85,35,501,153,2017,2021
0203440,Angoon,29872,10821,87,30,419,83,2018,2022
0203440,Angoon,25726,9976,84,28,467,78,2019,2023
0203550,Aniak,22010,3065,,,,,2007,2011
0203550,Aniak,21582,3289,83,26,522,82,2008,2012
0203550,Aniak,19614,2591,90,31,542,87,2009,2013
0203550,Aniak,22533,2853,93,25,512,62,2010,2014
0203550,Aniak,23333,3062,98,30,516,55,2011,2015
0203550,Aniak,23187,2701,126,37,513,64,2012,2016
0203550,Aniak,25438,6905,118,43,505,66,2013,2017
0203550,Aniak,31069,8310,90,38,513,83,2014,2018
0203550,Aniak,33411,9836,87,37,515,66,2015,2019
0203550,Aniak,42332,14747,94,38,550,108,2016,2020
0203550,Aniak,43922,15753,81,39,558,109,2017,2021
0203550,Aniak,57021,29517,64,44,543,68,2018,2022
0203550,Aniak,40505,7414,97,63,563,80,2019,2023
0203880,Anvik,10981,3362,,,,,2007,2011
0203880,Anvik,10640,3388,31,28,94,32,2008,2012
0203880,Anvik,11540,4328,30,26,99,37,2009,2013
0203880,Anvik,15787,3674,12,7,86,24,2010,2014
0203880,Anvik,19240,5778,14,8,86,21,2011,2015
0203880,Anvik,20242,6129,21,9,84,19,2012,2016
0203880,Anvik,19271,4941,15,7,89,19,2013,2017
0203880,Anvik,19777,4671,22,16,103,24,2014,2018
0203880,Anvik,18015,4660,24,12,103,25,2015,2019
0203880,Anvik,19594,4906,16,12,85,23,2016,2020
0203880,Anvik,19244,4490,23,18,93,29,2017,2021
0203880,Anvik,23576,5265,20,15,74,33,2018,2022
0203880,Anvik,32269,11208,11,11,85,45,2019,2023
0203990,Arctic Village,17551,3887,,,,,2007,2011
0203990,Arctic Village,14219,3884,34,22,104,34,2008,2012
0203990,Arctic Village,15769,3778,44,22,125,33,2009,2013
0203990,Arctic Village,17373,5053,45,23,114,29,2010,2014
0203990,Arctic Village,19589,8983,49,21,134,37,2011,2015
0203990,Arctic Village,15253,4902,63,23,135,35,2012,2016
0203990,Arctic Village,17255,5784,62,24,163,46,2013,2017
0203990,Arctic Village,14534,5366,57,20,153,32,2014,2018
0203990,Arctic Village,12179,3926,85,30,185,40,2015,2019
0203990,Arctic Village,9982,3636,118,41,229,49,2016,2020
0203990,Arctic Village,12127,3015,103,45,225,58,2017,2021
0203990,Arctic Village,13427,4273,91,41,199,54,2018,2022
0203990,Arctic Village,15112,7859,107,51,177,71,2019,2023
0204210,Atka,35663,9484,,,,,2007,2011
0204210,Atka,51146,21229,11,16,87,46,2008,2012
0204210,Atka,26397,11011,0,9,60,19,2009,2013
0204210,Atka,25538,7244,2,3,66,20,2010,2014
0204210,Atka,27042,7072,1,2,66,16,2011,2015
0204210,Atka,28420,12197,1,3,51,19,2012,2016
0204210,Atka,26500,8156,4,3,51,17,2013,2017
0204210,Atka,28066,8176,6,5,35,19,2014,2018
0204210,Atka,23247,9842,6,5,43,18,2015,2019
0204210,Atka,25172,15307,7,7,43,26,2016,2020
0204210,Atka,16432,16275,7,6,38,17,2017,2021
0204210,Atka,18586,20940,3,5,28,15,2018,2022
0204210,Atka,11562,15571,5,6,26,17,2019,2023
0204430,Atmautluak,12289,3239,,,,,2007,2011
0204430,Atmautluak,13249,2824,61,41,329,75,2008,2012
0204430,Atmautluak,13606,3861,60,36,295,65,2009,2013
0204430,Atmautluak,15515,3493,59,24,288,53,2010,2014
0204430,Atmautluak,14441,2910,66,29,258,38,2011,2015
0204430,Atmautluak,11368,2189,80,25,231,40,2012,2016
0204430,Atmautluak,9742,1908,76,24,242,45,2013,2017
0204430,Atmautluak,10564,2220,55,21,209,45,2014,2018
0204430,Atmautluak,9147,2107,50,24,189,39,2015,2019
0204430,Atmautluak,9034,1874,29,21,143,38,2016,2020
0204430,Atmautluak,9914,2448,13,14,147,56,2017,2021
0204430,Atmautluak,9724,5362,5,7,34,29,2018,2022
0204430,Atmautluak,9245,4677,6,8,38,35,2019,2023
0204500,Atqasuk,18747,3409,,,,,2007,2011
0204500,Atqasuk,18265,3328,56,29,290,81,2008,2012
0204500,Atqasuk,18036,3255,53,20,276,67,2009,2013
0204500,Atqasuk,19968,3598,47,19,219,60,2010,2014
0204500,Atqasuk,20998,4965,37,20,159,40,2011,2015
0204500,Atqasuk,21702,6471,37,17,167,44,2012,2016
0204500,Atqasuk,20597,3836,33,16,172,55,2013,2017
0204500,Atqasuk,21012,4321,28,17,164,56,2014,2018
0204500,Atqasuk,18826,4402,35,21,162,57,2015,2019
0204500,Atqasuk,20584,4846,33,17,135,42,2016,2020
0204500,Atqasuk,18301,4464,43,25,181,60,2017,2021
0204500,Atqasuk,23804,5154,21,18,119,57,2018,2022
0204500,Atqasuk,30281,9252,23,16,139,63,2019,2023
0204670,Attu Station,58761,56830,,,,,2007,2011
0204670,Attu Station,,,0,10,0,10,2008,2012
0204670,Attu Station,,,0,9,0,9,2009,2013
0204670,Attu Station,69882,73542,0,9,0,9,2010,2014
0204670,Attu Station,36256,57906,0,9,0,9,2011,2015
0204670,Attu Station,57973,66100,0,9,0,9,2012,2016
0204670,Attu Station,62550,68382,0,9,0,9,2013,2017
0204670,Attu Station,54412,83480,0,9,0,9,2014,2018
0204670,Attu Station,,,0,9,0,9,2015,2019
0204670,Attu Station,,,0,10,0,10,2016,2020
0204670,Attu Station,,,0,10,0,10,2017,2021
0204670,Attu Station,,,0,10,0,10,2018,2022
0204670,Attu Station,,,0,10,0,10,2019,2023
0205000,Badger,30238,2082,,,,,2007,2011
0205000,Badger,30424,2035,972,365,20442,1247,2008,2012
0205000,Badger,30576,1820,1090,365,20604,1262,2009,2013
0205000,Badger,30697,1796,1012,363,20828,1327,2010,2014
0205000,Badger,30431,1874,957,294,21035,1332,2011,2015
0205000,Badger,31932,2011,1454,869,19657,1262,2012,2016
0205000,Badger,35042,2119,1213,689,18846,1083,2013,2017
0205000,Badger,36210,2296,1492,739,18650,1012,2014,2018
0205000,Badger,36250,2724,1769,858,18753,1298,2015,2019
0205000,Badger,43143,6338,1181,517,19287,1939,2016,2020
0205000,Badger,44739,7067,911,353,19077,1578,2017,2021
0205000,Badger,47387,7941,957,339,19041,1739,2018,2022
0205000,Badger,51997,8382,730,330,18919,1530,2019,2023
0205585,Bear Creek,22988,4166,,,,,2007,2011
0205585,Bear Creek,26115,4942,152,55,1770,499,2008,2012
0205585,Bear Creek,29180,5659,186,97,1754,481,2009,2013
0205585,Bear Creek,31131,4434,252,157,2202,528,2010,2014
0205585,Bear Creek,34259,6455,230,131,1812,469,2011,2015
0205585,Bear Creek,37895,7788,150,86,1389,429,2012,2016
0205585,Bear Creek,33753,6476,196,132,1512,401,2013,2017
0205585,Bear Creek,33862,6047,175,122,1465,361,2014,2018
0205585,Bear Creek,29881,6028,173,100,1178,302,2015,2019
0205585,Bear Creek,30129,6260,176,112,1287,365,2016,2020
0205585,Bear Creek,30808,5511,179,122,1524,408,2017,2021
0205585,Bear Creek,37364,6687,121,117,1281,388,2018,2022
0205585,Bear Creek,45252,8088,45,62,1356,477,2019,2023
0205750,Beaver,13849,4551,,,,,2007,2011
0205750,Beaver,14335,4547,32,19,88,38,2008,2012
0205750,Beaver,13997,3606,34,18,98,36,2009,2013
0205750,Beaver,18519,4773,24,16,86,30,2010,2014
0205750,Beaver,16247,3528,18,9,60,15,2011,2015
0205750,Beaver,18298,7365,13,12,46,18,2012,2016
0205750,Beaver,16602,5122,19,9,54,16,2013,2017
0205750,Beaver,16354,5070,13,9,46,23,2014,2018
0205750,Beaver,13353,3510,29,18,67,30,2015,2019
0205750,Beaver,16605,3564,24,17,86,26,2016,2020
0205750,Beaver,17102,3902,22,20,90,34,2017,2021
0205750,Beaver,18644,4643,22,21,84,40,2018,2022
0205750,Beaver,20051,7191,21,27,77,40,2019,2023
0206245,Beluga,,,,,,,2007,2011
0206245,Beluga,61574,13656,2,3,53,59,2008,2012
0206245,Beluga,13714,13987,3,4,7,5,2009,2013
0206245,Beluga,12800,16807,2,3,5,5,2010,2014
0206245,Beluga,16083,14562,2,3,6,5,2011,2015
0206245,Beluga,16660,16158,2,3,5,5,2012,2016
0206245,Beluga,,,0,9,2,3,2013,2017
0206245,Beluga,,,0,9,4,5,2014,2018
0206245,Beluga,,,0,9,5,5,2015,2019
0206245,Beluga,,,0,10,5,6,2016,2020
0206245,Beluga,,,0,10,3,5,2017,2021
0206245,Beluga,,,0,10,4,4,2018,2022
0206245,Beluga,,,0,10,5,6,2019,2023
0206520,Bethel,29261,2645,,,,,2007,2011
0206520,Bethel,30863,3152,731,256,5886,80,2008,2012
0206520,Bethel,29968,3082,721,286,5916,114,2009,2013
0206520,Bethel,31160,3244,736,234,5993,145,2010,2014
0206520,Bethel,28758,2109,683,181,5997,149,2011,2015
0206520,Bethel,29165,2579,840,256,5945,141,2012,2016
0206520,Bethel,30256,2100,818,265,5965,163,2013,2017
0206520,Bethel,31928,2450,806,265,6041,166,2014,2018
0206520,Bethel,31337,3288,967,359,6068,173,2015,2019
0206520,Bethel,34353,3820,1067,278,6228,134,2016,2020
0206520,Bethel,38073,3736,803,257,5989,130,2017,2021
0206520,Bethel,37790,3729,755,262,5978,113,2018,2022
0206520,Bethel,40617,6063,766,301,5975,95,2019,2023
0206630,Bettles,47560,7938,,,,,2007,2011
0206630,Bettles,45050,8664,0,10,30,21,2008,2012
0206630,Bettles,43884,12213,0,9,19,14,2009,2013
0206630,Bettles,42036,18215,0,9,11,6,2010,2014
0206630,Bettles,38982,7689,0,9,22,23,2011,2015
0206630,Bettles,39006,6670,0,9,36,59,2012,2016
0206630,Bettles,41165,3979,0,9,74,152,2013,2017
0206630,Bettles,42176,10840,0,9,66,141,2014,2018
0206630,Bettles,42814,2158,0,9,84,180,2015,2019
0206630,Bettles,,,0,10,2,3,2016,2020
0206630,Bettles,,,0,10,2,3,2017,2021
0206630,Bettles,,,0,10,0,10,2018,2022
0206630,Bettles,,,0,10,0,10,2019,2023
0206850,Big Delta,21760,5961,,,,,2007,2011
0206850,Big Delta,20708,4762,49,38,657,214,2008,2012
0206850,Big Delta,23059,4435,83,72,638,218,2009,2013
0206850,Big Delta,23650,5249,79,74,574,187,2010,2014
0206850,Big Delta,26178,6748,68,56,524,172,2011,2015
0206850,Big Delta,28742,7342,59,72,577,199,2012,2016
0206850,Big Delta,28526,9477,80,78,588,178,2013,2017
0206850,Big Delta,36885,13425,25,25,457,142,2014,2018
0206850,Big Delta,31233,10338,26,27,556,187,2015,2019
0206850,Big Delta,27674,8220,28,27,627,212,2016,2020
0206850,Big Delta,24071,8308,33,29,521,200,2017,2021
0206850,Big Delta,32177,10645,26,26,545,208,2018,2022
0206850,Big Delta,26793,8509,3,7,646,241,2019,2023
0207070,Big Lake,28126,4217,,,,,2007,2011
0207070,Big Lake,28981,4078,468,184,3595,415,2008,2012
0207070,Big Lake,27916,3468,452,160,3978,404,2009,2013
0207070,Big Lake,29687,3327,411,145,3914,365,2010,2014
0207070,Big Lake,30942,2736,365,144,3807,319,2011,2015
0207070,Big Lake,30559,2905,394,144,3544,327,2012,2016
0207070,Big Lake,29663,2802,463,132,3136,331,2013,2017
0207070,Big Lake,31088,3065,476,146,2765,228,2014,2018
0207070,Big Lake,29749,2747,450,101,2678,240,2015,2019
0207070,Big Lake,30964,4362,470,129,2769,365,2016,2020
0207070,Big Lake,32591,3742,553,163,2888,365,2017,2021
0207070,Big Lake,40697,3967,412,144,3231,363,2018,2022
0207070,Big Lake,41948,5040,413,150,3289,422,2019,2023
0207620,Birch Creek,11513,3047,,,,,2007,2011
0207620,Birch Creek,10872,3226,8,7,18,14,2008,2012
0207620,Birch Creek,8792,3770,9,8,12,10,2009,2013
0207620,Birch Creek,8655,3906,9,7,11,9,2010,2014
0207620,Birch Creek,,,1,4,1,4,2011,2015
0207620,Birch Creek,,,3,4,3,4,2012,2016
0207620,Birch Creek,,,1,3,1,3,2013,2017
0207620,Birch Creek,,,2,3,2,3,2014,2018
0207620,Birch Creek,,,4,4,4,4,2015,2019
0207620,Birch Creek,,,4,4,4,4,2016,2020
0207620,Birch Creek,,,3,4,3,4,2017,2021
0207620,Birch Creek,,,3,5,3,5,2018,2022
0207620,Birch Creek,,,5,7,5,7,2019,2023
0208740,Brevig Mission,8873,2091,,,,,2007,2011
0208740,Brevig Mission,9287,1935,175,48,337,52,2008,2012
0208740,Brevig Mission,8389,1478,230,57,405,57,2009,2013
0208740,Brevig Mission,7565,1183,267,52,438,47,2010,2014
0208740,Brevig Mission,7510,1029,254,46,441,52,2011,2015
0208740,Brevig Mission,8225,1264,224,38,416,48,2012,2016
0208740,Brevig Mission,8425,1284,246,43,415,46,2013,2017
0208740,Brevig Mission,11205,3456,209,49,403,41,2014,2018
0208740,Brevig Mission,11602,3133,186,46,380,66,2015,2019
0208740,Brevig Mission,10138,2198,395,122,617,121,2016,2020
0208740,Brevig Mission,10917,2102,407,126,669,132,2017,2021
0208740,Brevig Mission,13032,2957,336,146,623,151,2018,2022
0208740,Brevig Mission,13516,3692,375,156,689,165,2019,2023
0209600,Buckland,9344,1874,,,,,2007,2011
0209600,Buckland,10149,1425,110,56,526,88,2008,2012
0209600,Buckland,11489,1900,140,49,576,78,2009,2013
0209600,Buckland,12918,1589,143,44,581,64,2010,2014
0209600,Buckland,14209,2013,145,38,594,56,2011,2015
0209600,Buckland,13527,1797,144,40,615,59,2012,2016
0209600,Buckland,13288,1610,141,35,626,61,2013,2017
0209600,Buckland,13786,2482,134,41,607,63,2014,2018
0209600,Buckland,12739,1832,145,40,671,67,2015,2019
0209600,Buckland,13530,2047,119,37,682,77,2016,2020
0209600,Buckland,14653,2167,96,39,673,105,2017,2021
0209600,Buckland,16754,2607,100,33,643,108,2018,2022
0209600,Buckland,17089,3158,106,43,620,101,2019,2023
0209657,Buffalo Soapstone,33957,7337,,,,,2007,2011
0209657,Buffalo Soapstone,34566,7618,17,11,792,182,2008,2012
0209657,Buffalo Soapstone,31950,6912,40,30,892,171,2009,2013
0209657,Buffalo Soapstone,28529,5435,42,30,878,152,2010,2014
0209657,Buffalo Soapstone,27814,3555,38,27,827,145,2011,2015
0209657,Buffalo Soapstone,31237,5059,45,27,836,166,2012,2016
0209657,Buffalo Soapstone,29716,4264,80,42,852,165,2013,2017
0209657,Buffalo Soapstone,30387,5313,85,43,871,158,2014,2018
0209657,Buffalo Soapstone,27737,3983,114,43,969,188,2015,2019
0209657,Buffalo Soapstone,29524,4634,127,46,929,167,2016,2020
0209657,Buffalo Soapstone,30972,5652,131,62,942,152,2017,2021
0209657,Buffalo Soapstone,35111,5001,84,45,950,177,2018,2022
