year,month,value,units,process,process_name,series,series_description
2025,3,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,3,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,3,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,2,292723,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,2,10454,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,2,29720,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,2,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,2,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,2,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,2,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,2,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,2,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,1,10404,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,1,322539,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,1,32571,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,1,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,1,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,1,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
