fips_code,name,start_year,end_year,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0209600,Buckland,2020,2024,533,53,54,66,52,52,87,54,39,15,21,12,24,4,23.6,213,320,288,55,40,533,305,228
0209657,Buffalo Soapstone,2020,2024,739,17,35,29,43,35,85,54,105,83,75,153,25,0,54.1,120,619,593,226,178,739,369,370
0209710,Butte,2020,2024,4085,203,221,364,291,254,373,475,639,299,313,395,162,96,42.2,967,3118,2974,809,653,4085,2038,2047
0210150,Cantwell,2020,2024,128,6,1,2,2,0,15,15,8,10,5,21,36,7,65,10,118,117,67,64,128,77,51
0211690,Central,2020,2024,108,0,11,6,6,0,0,10,6,15,24,18,12,0,59,23,85,85,44,30,108,58,50
0211800,Chalkyitsik,2020,2024,80,10,6,13,0,0,21,23,0,7,0,0,0,0,32.5,29,51,51,0,0,80,47,33
0212350,Chase,2020,2024,29,0,0,0,0,0,0,0,0,0,0,29,0,0,,0,29,29,29,29,29,15,14
0212680,Chefornak,2020,2024,620,84,86,61,51,26,81,67,24,22,34,63,18,3,25.5,265,355,330,104,84,620,333,287
0212920,Chena Ridge,2020,2024,5881,424,331,527,245,185,1031,850,835,119,695,458,181,0,37.5,1470,4411,4320,1043,639,5881,3006,2875
0212970,Chenega,2020,2024,37,3,2,2,14,4,3,2,7,0,0,0,0,0,19.2,18,19,16,0,0,37,16,21
0213230,Chevak,2020,2024,494,57,57,79,33,15,98,55,30,9,35,21,5,0,26,205,289,263,55,26,494,258,236
0213340,Chickaloon,2020,2024,333,44,7,16,0,19,74,11,8,28,19,72,31,4,42.6,67,266,266,126,107,333,163,170
0213450,Chicken,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0213550,Chignik,2020,2024,27,0,0,2,2,0,3,3,4,2,3,6,2,0,53.8,4,23,23,8,8,27,14,13
0213670,Chignik Lagoon,2020,2024,29,0,0,0,0,4,2,0,4,6,8,5,0,0,55.8,0,29,27,13,5,29,14,15
0213890,Chisana,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0214000,Chistochina,2020,2024,58,0,7,0,0,2,0,7,10,6,8,8,3,7,59.4,7,51,49,18,18,58,14,44
0214110,Chitina,2020,2024,100,11,18,10,4,3,11,9,7,1,14,10,2,0,29.8,42,58,57,17,12,100,59,41
0214330,Chuathbaluk,2020,2024,82,3,14,3,3,17,6,4,10,2,12,8,0,0,25.5,20,62,59,15,8,82,34,48
0214880,Circle,2020,2024,54,0,4,12,0,0,0,4,4,0,0,5,18,7,67.6,16,38,38,30,30,54,20,34
0215320,Clam Gulch,2020,2024,238,0,5,18,0,38,9,31,29,7,19,59,19,4,51,23,215,215,97,82,238,147,91
0216360,Coffman Cove,2020,2024,269,33,14,19,6,2,27,27,20,39,15,50,17,0,50.1,70,199,197,76,67,269,167,102
0216420,Cohoe,2020,2024,1598,105,65,90,172,57,101,170,246,135,172,205,75,5,48.4,366,1232,1160,399,285,1598,812,786
0216530,Cold Bay,2020,2024,145,17,6,0,1,50,21,29,6,6,8,1,0,0,23.9,23,122,121,3,1,145,68,77
0216630,Coldfoot,2020,2024,211,0,0,0,0,0,114,0,49,48,0,0,0,0,33.8,0,211,211,0,0,211,150,61
0216750,College,2020,2024,11924,873,515,834,869,1244,1996,1679,1038,320,479,1475,423,179,32.7,2602,9322,8499,2358,2077,11924,6688,5236
0217190,Cooper Landing,2020,2024,227,20,24,0,0,0,45,5,74,32,0,27,0,0,46.4,44,183,183,27,27,227,102,125
0217300,Copper Center,2020,2024,346,3,34,30,25,9,32,40,50,21,38,48,13,3,44.5,84,262,248,87,64,346,197,149
0217410,Cordova,2020,2024,2453,178,127,117,116,195,338,284,186,232,183,354,105,38,37.8,462,1991,1850,631,497,2453,1218,1235
0217670,Covenant Life,2020,2024,15,0,0,0,0,0,0,0,15,0,0,0,0,0,,0,15,15,0,0,15,8,7
0217740,Craig,2020,2024,1131,41,57,58,70,41,140,148,157,87,104,173,50,5,45.5,197,934,899,265,228,1131,596,535
0217850,Crooked Creek,2020,2024,17,0,3,0,3,0,3,0,3,0,2,3,0,0,27.8,3,14,11,5,3,17,9,8
0217960,Crown Point,2020,2024,65,0,0,0,0,0,0,18,0,13,20,14,0,0,62.1,0,65,65,34,14,65,21,44
0218510,Deering,2020,2024,227,29,16,29,24,15,46,17,22,8,8,10,3,0,29.2,93,134,126,19,13,227,121,106
0218620,Delta Junction,2020,2024,1217,111,51,116,49,57,262,251,118,38,47,61,45,11,34.2,295,922,873,140,117,1217,753,464
0218675,Deltana,2020,2024,1997,115,91,145,144,74,238,186,347,87,135,263,145,27,45.1,456,1541,1463,486,435,1997,1031,966
0218805,Denali Park,2020,2024,819,6,15,3,0,18,115,499,71,52,3,32,5,0,44.4,24,795,777,40,37,819,716,103
0218925,Diamond Ridge,2020,2024,1329,69,68,138,38,93,155,186,118,123,79,191,53,18,41.5,309,1020,989,314,262,1329,676,653
0218950,Dillingham,2020,2024,2109,133,181,156,143,117,313,309,165,110,233,169,59,21,35.5,564,1545,1492,391,249,2109,1075,1034
0219060,Diomede,2020,2024,27,4,6,2,0,0,12,3,0,0,0,0,0,0,27.2,12,15,15,0,0,27,11,16
0219720,Dot Lake,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0219750,Dot Lake Village,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0220020,Dry Creek,2020,2024,162,44,0,0,0,40,0,0,21,57,0,0,0,0,24.8,44,118,118,0,0,162,104,58
0220380,Eagle,2020,2024,95,0,0,3,3,0,5,7,1,11,13,29,19,4,69.5,6,89,89,52,52,95,63,32
0220600,Eagle Village,2020,2024,24,0,0,0,4,3,0,0,0,0,7,10,0,0,62.5,0,24,17,14,10,24,24,0
0220716,Eareckson Station,2020,2024,129,0,0,0,0,30,21,30,15,3,21,9,0,0,40,0,129,122,17,9,129,104,25
0220970,Edna Bay,2020,2024,25,0,0,0,0,0,0,16,0,0,3,6,0,0,43.7,0,25,25,9,6,25,19,6
0221040,Eek,2020,2024,174,9,24,27,13,9,14,17,31,8,9,13,0,0,27.5,69,105,100,17,13,174,95,79
0221150,Egegik,2020,2024,54,0,0,0,2,0,23,11,10,6,2,0,0,0,42.2,2,52,52,0,0,54,48,6
0221370,Eielson AFB,2020,2024,3155,368,670,119,85,685,661,492,41,20,0,0,0,14,22.3,1174,1981,1770,14,14,3155,1904,1251
0221810,Ekwok,2020,2024,36,2,4,2,7,0,4,6,2,0,2,2,5,0,30.5,12,24,21,9,7,36,18,18
0222140,Elfin Cove,2020,2024,28,0,0,0,0,0,0,0,0,0,0,22,6,0,73.1,0,28,28,28,28,28,15,13
0222250,Elim,2020,2024,383,25,48,50,51,37,45,42,33,23,10,16,3,0,22.3,160,223,200,26,19,383,226,157
0222910,Emmonak,2020,2024,966,131,123,60,54,83,125,132,68,35,27,124,2,2,28,351,615,591,144,128,966,534,432
0223460,Ester,2020,2024,2752,66,159,68,139,128,688,308,384,91,362,354,5,0,38,361,2391,2319,643,359,2752,1707,1045
0223720,Eureka Roadhouse,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0223790,Evansville,2020,2024,17,0,0,0,0,0,0,11,0,0,2,4,0,0,37.7,0,17,17,6,4,17,6,11
0223900,Excursion Inlet,2020,2024,62,0,0,0,0,0,25,0,13,18,6,0,0,0,53.5,0,62,62,6,0,62,29,33
0224230,Fairbanks,2020,2024,32083,2590,2202,1885,1883,4208,6911,3684,2806,1201,902,2505,1004,302,29,7888,24195,23105,4354,3811,32083,17373,14710
0224660,False Pass,2020,2024,151,22,10,2,4,35,13,12,0,40,0,13,0,0,32.8,38,113,113,13,13,151,77,74
0224980,Farmers Loop,2020,2024,4954,244,513,229,334,195,874,712,542,302,378,335,278,18,36.6,1199,3755,3634,783,631,4954,2463,2491
0225000,Farm Loop,2020,2024,2894,161,166,201,298,83,301,561,318,205,175,324,77,24,40.2,708,2186,2011,512,425,2894,1493,1401
0225220,Ferry,2020,2024,22,5,0,0,0,0,2,0,0,3,0,4,0,8,65.3,5,17,17,12,12,22,14,8
0225880,Flat,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0226760,Fort Yukon,2020,2024,656,54,39,58,29,90,54,75,82,16,30,94,30,5,35.3,178,478,474,151,129,656,304,352
0226835,Four Mile Road,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0226870,Fox,2020,2024,80,0,0,0,0,0,24,0,0,0,17,20,19,0,64.9,0,80,80,56,39,80,39,41
0226910,Fox River,2020,2024,741,120,73,84,48,94,119,57,57,19,26,27,12,5,22.7,309,432,398,58,44,741,383,358
0227090,Fritz Creek,2020,2024,2383,143,131,134,86,35,238,339,410,179,202,339,131,16,47.1,476,1907,1889,602,486,2383,1148,1235
0227145,Funny River,2020,2024,1081,0,0,32,0,0,80,52,126,198,221,305,67,0,60.6,32,1049,1049,450,372,1081,593,488
0227420,Gakona,2020,2024,181,20,16,15,4,1,30,13,17,15,7,37,1,5,37.5,55,126,126,50,43,181,95,86
0227530,Galena,2020,2024,611,49,42,78,19,16,98,116,77,29,19,53,15,0,35.3,183,428,423,78,68,611,285,326
0227640,Gambell,2020,2024,569,47,57,45,45,51,116,45,54,35,24,30,17,3,27.7,180,389,356,66,50,569,295,274
0227700,Game Creek,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0228590,Glacier View,2020,2024,308,17,0,25,11,10,39,67,20,24,45,42,8,0,41.4,53,255,255,84,50,308,136,172
0229130,Goldstream,2020,2024,3294,207,198,58,218,268,182,807,408,202,116,421,110,99,41.2,611,2683,2500,696,630,3294,1574,1720
0229180,Golovin,2020,2024,181,11,10,33,18,9,11,32,14,11,8,20,4,0,31.9,67,114,104,30,24,181,105,76
0229290,Goodnews Bay,2020,2024,115,17,16,4,3,3,21,18,15,12,3,3,0,0,32.8,40,75,75,6,3,115,50,65
0230060,Grayling,2020,2024,173,20,5,18,7,2,15,40,9,7,21,17,8,4,38.4,50,123,123,34,29,173,101,72
0230500,Gulkana,2020,2024,47,0,0,0,4,0,5,6,5,3,7,11,6,0,60.2,3,44,43,21,17,47,32,15
0231050,Haines,2020,2024,1757,51,93,134,155,32,96,191,275,173,164,228,147,18,50.1,424,1333,1324,482,393,1757,889,868
0231270,Halibut Cove,2020,2024,167,0,13,31,3,0,27,22,14,46,0,11,0,0,40.2,47,120,120,11,11,167,100,67
0231710,Happy Valley,2020,2024,775,24,32,58,34,22,35,96,33,49,80,180,101,31,60.9,130,645,622,365,312,775,393,382
0231765,Harding-Birch Lakes,2020,2024,277,0,0,0,7,0,39,8,61,44,84,34,0,0,59.5,7,270,270,98,34,277,156,121
0232150,Healy,2020,2024,670,44,23,79,62,40,92,74,94,32,27,97,6,0,33.9,196,474,462,118,103,670,335,335
0232310,Healy Lake,2020,2024,24,3,0,0,2,0,0,2,2,7,8,0,0,0,55.6,5,19,19,4,0,24,9,15
0232550,Hobart Bay,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0232810,Hollis,2020,2024,66,0,0,0,0,0,0,0,0,0,19,47,0,0,70,0,66,66,66,47,66,47,19
0233030,Holy Cross,2020,2024,205,12,3,28,34,1,14,18,25,25,20,21,1,3,38.4,77,128,127,43,25,205,140,65
0233140,Homer,2020,2024,5877,252,329,365,400,336,778,778,680,309,354,856,341,99,40,1162,4715,4440,1502,1296,5877,3067,2810
0233360,Hoonah,2020,2024,862,17,36,47,17,34,158,127,109,65,45,146,53,8,44.6,102,760,742,240,207,862,468,394
0233470,Hooper Bay,2020,2024,903,128,113,79,89,32,104,68,100,86,45,36,23,0,27.8,389,514,486,80,59,903,465,438
0233580,Hope,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0233800,Houston,2020,2024,1834,69,74,87,131,139,322,147,244,135,176,237,65,8,40.2,297,1537,1429,422,310,1834,1099,735
0233910,Hughes,2020,2024,40,0,0,6,13,1,0,0,3,0,4,6,7,0,39,19,21,21,13,13,40,11,29
0234350,Huslia,2020,2024,51,0,11,11,1,0,0,9,10,2,6,1,0,0,41.2,22,29,28,7,1,51,40,11
0234460,Hydaburg,2020,2024,375,36,17,36,17,11,58,57,23,6,26,54,32,2,37.5,106,269,266,106,88,375,189,186
0234570,Hyder,2020,2024,14,0,0,0,0,0,0,0,0,0,0,14,0,0,,0,14,14,14,14,14,8,6
0234790,Igiugig,2020,2024,53,2,6,4,2,2,4,11,6,6,3,5,0,2,41.7,14,39,39,10,7,53,20,33
0235890,Ivanof Bay,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0236400,Juneau,2020,2024,31794,1510,1866,2053,1902,1715,4466,4763,4030,1765,2640,3418,1484,182,40,6497,25297,24062,6913,5084,31794,16141,15653
0236540,Kachemak,2020,2024,805,55,59,51,38,15,104,101,71,43,41,145,80,2,39.6,183,622,597,261,227,805,362,443
0236770,Kake,2020,2024,624,61,63,29,50,20,62,77,58,53,38,73,36,4,38.3,182,442,412,144,113,624,320,304
0236990,Kaktovik,2020,2024,124,10,10,9,6,4,26,22,15,2,6,7,7,0,32.7,34,90,89,15,14,124,73,51
0237250,Kalifornsky,2020,2024,8663,497,522,691,638,369,1045,1232,1019,432,697,1092,284,145,40.7,2122,6541,6158,1862,1521,8663,4430,4233
0237430,Kaltag,2020,2024,68,0,9,3,0,1,0,23,3,13,3,13,0,0,44.5,12,56,56,15,13,68,33,35
0237540,Karluk,2020,2024,33,0,0,0,4,9,3,8,1,0,0,8,0,0,38.1,0,33,29,8,8,33,23,10
0237975,Kasigluk,2020,2024,698,85,67,94,61,27,80,91,55,33,33,29,34,9,27.6,285,413,379,86,72,698,349,349
0238090,Kasilof,2020,2024,313,0,0,0,0,77,0,70,40,0,22,104,0,0,49.3,0,313,313,104,104,313,166,147
0238420,Kenai,2020,2024,7641,515,339,703,454,619,1301,991,981,411,372,632,288,35,34.4,1877,5764,5515,1201,955,7641,3887,3754
0238910,Kenny Lake,2020,2024,289,37,31,36,22,35,0,29,16,8,18,38,19,0,24.5,126,163,158,69,57,289,140,149
0239300,Kiana,2020,2024,437,21,39,44,38,48,54,53,30,34,18,38,17,3,29.9,124,313,285,64,58,437,270,167
0239630,King Salmon,2020,2024,323,38,15,12,16,7,59,47,33,22,28,31,13,2,37.8,77,246,240,49,46,323,168,155
0239740,Kipnuk,2020,2024,706,83,78,83,51,47,114,63,53,36,48,42,5,3,25.7,275,431,402,62,50,706,378,328
0239960,Kivalina,2020,2024,809,71,119,127,76,59,79,82,73,53,17,32,17,4,21.9,372,437,410,61,53,809,467,342
0240400,Klawock,2020,2024,749,30,53,42,37,25,71,80,151,46,73,76,54,11,47.3,150,599,587,193,141,749,422,327
0240510,Klukwan,2020,2024,82,0,0,6,6,0,4,14,21,5,0,12,11,3,50.2,12,70,70,26,26,82,49,33
0240670,Knik River,2020,2024,883,59,62,33,34,72,125,125,89,47,90,116,31,0,40.5,178,705,690,211,147,883,505,378
0240840,Kobuk,2020,2024,101,14,14,10,8,7,11,8,16,0,3,5,5,0,22.8,42,59,55,13,10,101,55,46
0240950,Kodiak,2020,2024,5447,176,323,444,404,512,500,780,472,587,191,664,279,115,40.2,1095,4352,3972,1221,1058,5447,2865,2582
0241210,Kodiak Station,2020,2024,1823,133,264,114,66,390,587,255,12,0,2,0,0,0,23.9,546,1277,1179,2,0,1823,1072,751
0241280,Kokhanok,2020,2024,39,3,8,4,3,0,2,7,4,0,6,2,0,0,26.5,16,23,21,5,2,39,12,27
0241500,Koliganek,2020,2024,193,15,24,35,25,8,16,19,9,11,16,11,2,2,18.9,92,101,94,29,15,193,95,98
0241610,Kongiganak,2020,2024,316,37,42,20,36,21,50,35,12,13,28,15,4,3,27,126,190,179,38,22,316,211,105
0241720,Kotlik,2020,2024,976,141,144,144,90,62,122,70,110,24,34,21,14,0,18,487,489,452,51,35,976,535,441
0241830,Kotzebue,2020,2024,2984,309,222,256,279,147,478,414,294,136,218,164,45,22,31,972,2012,1904,352,231,2984,1429,1555
0241940,Koyuk,2020,2024,348,23,43,38,33,30,46,31,27,11,23,38,5,0,26.5,129,219,200,57,43,348,217,131
0242050,Koyukuk,2020,2024,29,0,0,5,0,0,0,7,8,0,9,0,0,0,47.3,5,24,24,9,0,29,13,16
0242160,Kupreanof,2020,2024,10,0,0,0,0,0,0,0,0,0,0,8,2,0,71.3,0,10,10,10,10,10,5,5
0242490,Kwigillingok,2020,2024,545,64,49,43,38,65,74,51,42,33,39,28,19,0,26.8,183,362,326,70,47,545,290,255
0242805,Lake Louise,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0242820,Lake Minchumina,2020,2024,7,0,0,0,0,0,0,0,0,2,1,0,4,0,82.1,0,7,7,5,4,7,5,2
0243040,Larsen Bay,2020,2024,145,4,4,4,0,24,11,19,27,4,28,14,6,0,47.3,12,133,133,24,20,145,65,80
0243260,Lazy Mountain,2020,2024,1459,58,78,140,84,63,204,138,157,105,162,178,63,29,41.6,320,1139,1084,330,270,1459,673,786
0243810,Levelock,2020,2024,8,0,0,0,0,0,1,3,0,2,0,2,0,0,51,0,8,8,2,2,8,5,3
0244580,Livengood,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0245295,Lowell Point,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0245460,Lower Kalskag,2020,2024,239,32,40,25,6,4,41,33,20,4,6,21,7,0,30.3,101,138,132,30,28,239,146,93
0245700,Lutak,2020,2024,24,0,0,0,0,0,0,0,0,0,0,0,24,0,80.5,0,24,24,24,24,24,10,14
0246780,Manley Hot Springs,2020,2024,32,0,0,0,0,0,0,0,0,0,0,12,16,4,75.8,0,32,32,32,32,32,22,10
0246890,Manokotak,2020,2024,679,65,73,53,66,53,99,57,45,45,26,74,23,0,27.6,230,449,412,110,97,679,336,343
0247000,Marshall,2020,2024,386,41,38,66,26,29,76,13,28,29,15,16,9,0,23.3,160,226,207,33,25,386,200,186
0245790,McCarthy,2020,2024,3,0,0,0,0,0,2,0,1,0,0,0,0,0,34.5,0,3,3,0,0,3,2,1
0246010,McGrath,2020,2024,255,5,9,22,10,36,28,28,17,20,18,49,11,2,39.1,46,209,202,71,62,255,115,140
0247735,Meadow Lakes,2020,2024,8689,451,671,669,625,623,1039,1170,1113,581,634,819,282,12,38.1,2254,6435,6106,1434,1113,8689,4667,4022
0247990,Mekoryuk,2020,2024,287,11,17,28,13,6,26,26,30,28,51,35,13,3,50.4,63,224,216,72,51,287,159,128
0248200,Mendeltna,2020,2024,41,0,0,0,0,0,0,0,13,0,19,0,9,0,62.4,0,41,41,28,9,41,15,26
0248540,Mentasta Lake,2020,2024,96,0,10,6,2,2,4,6,4,4,7,48,3,0,65.2,18,78,78,55,51,96,55,41
0248590,Mertarvik,2020,2024,12,5,0,0,0,0,4,0,0,0,0,0,3,0,30,5,7,7,3,3,12,11,1
0248870,Metlakatla,2020,2024,1235,59,72,84,111,71,128,177,108,122,78,146,68,11,40.6,287,948,901,258,225,1235,711,524
0249200,Mill Bay,2020,2024,3654,321,314,378,33,44,597,778,351,195,263,246,100,34,35.4,1046,2608,2569,504,380,3654,1875,1779
0250190,Moose Pass,2020,2024,202,0,0,31,66,0,0,53,30,0,21,0,1,0,42.2,65,137,105,22,1,202,101,101
0250800,Mosquito Lake,2020,2024,116,0,9,15,0,0,0,4,75,6,7,0,0,0,50.5,24,92,92,0,0,116,50,66
0251180,Mountain Village,2020,2024,949,88,132,110,138,43,128,86,40,65,76,22,21,0,20.5,414,535,468,95,43,949,493,456
0251455,Mud Bay,2020,2024,79,0,0,0,0,0,0,0,10,0,30,25,14,0,64,0,79,79,62,39,79,40,39
0251960,Nabesna,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0252060,Naknek,2020,2024,522,16,25,14,7,30,148,19,53,15,91,77,23,4,45.7,60,462,460,126,104,522,378,144
0252210,Nanwalek,2020,2024,199,9,18,15,65,25,9,12,17,6,8,15,0,0,19.6,68,131,74,18,15,199,84,115
0252390,Napakiak,2020,2024,556,45,70,95,59,25,55,70,59,29,25,18,6,0,21.3,250,306,284,37,24,556,278,278
0252720,Napaskiak,2020,2024,447,58,44,80,41,14,61,40,15,12,4,74,4,0,21.1,205,242,224,78,78,447,249,198
0252845,Naukati Bay,2020,2024,66,0,0,0,0,13,32,0,0,0,11,10,0,0,25.9,0,66,66,21,10,66,45,21
0252915,Nelchina,2020,2024,149,0,0,41,26,0,0,17,40,0,0,25,0,0,39.4,67,82,82,25,25,149,54,95
0252940,Nelson Lagoon,2020,2024,78,0,0,0,0,14,8,0,18,9,3,8,14,4,53.7,0,78,78,29,26,78,40,38
0253050,Nenana,2020,2024,479,42,33,27,16,53,48,51,34,24,22,100,24,5,41.1,118,361,361,144,129,479,223,256
0253710,New Stuyahok,2020,2024,474,38,34,47,36,31,82,37,96,21,4,35,13,0,30.9,140,334,311,48,48,474,285,189
0253820,Newtok,2020,2024,36,3,0,3,3,2,6,8,0,0,0,8,3,0,38.3,9,27,27,11,11,36,20,16
0253930,Nightmute,2020,2024,93,6,15,12,3,10,11,11,9,3,10,3,0,0,25.2,33,60,57,10,3,93,42,51
0254050,Nikiski,2020,2024,4773,404,422,451,215,154,554,658,377,277,324,535,360,42,36.5,1440,3333,3281,1177,937,4773,2619,2154
0254085,Nikolaevsk,2020,2024,245,0,25,14,14,0,16,45,29,22,23,41,12,4,48.1,53,192,192,69,57,245,130,115
0254150,Nikolai,2020,2024,44,0,0,5,0,1,14,2,2,5,5,1,5,4,45.5,5,39,39,14,10,44,29,15
0254260,Nikolski,2020,2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,1,0,1
0254480,Ninilchik,2020,2024,965,33,43,47,80,46,83,91,86,77,134,160,85,0,52.7,161,804,756,334,245,965,517,448
0254700,Noatak,2020,2024,786,89,72,112,63,58,102,55,68,48,46,29,24,20,24.9,313,473,439,90,73,786,449,337
0254920,Nome,2020,2024,3653,306,240,347,291,269,551,490,447,215,189,200,89,19,31.4,1076,2577,2431,402,308,3653,1759,1894
0255030,Nondalton,2020,2024,103,10,1,10,8,10,8,12,14,7,11,10,0,2,36.8,26,77,74,18,12,103,51,52
0255140,Noorvik,2020,2024,748,61,101,106,59,32,67,65,41,37,124,44,11,0,26.7,313,435,412,175,55,748,371,377
0255745,North Lakes,2020,2024,10223,555,675,901,812,623,1391,1502,1276,585,582,986,275,60,36.2,2735,7488,7182,1717,1321,10223,5347,4876
0255910,North Pole,2020,2024,2370,319,333,172,84,148,532,423,90,45,40,140,31,13,28.2,887,1483,1451,198,184,2370,1326,1044
0256220,Northway,2020,2024,192,10,27,31,10,0,4,20,11,22,7,28,12,10,43.4,78,114,114,57,50,192,115,77
