community_fips_code,residents_employed,unemployment_insurance_claimants,measurement_year
0209657,342,67,2008
0209657,346,87,2010
0209657,375,81,2011
0209657,368,81,2012
0209657,366,66,2013
0209657,379,55,2014
0209657,372,63,2015
0209657,372,63,2016
0209657,324,69,2001
0209657,325,81,2002
0209657,306,80,2003
0209657,312,74,2004
0209657,325,70,2005
0209657,341,51,2006
0209657,335,62,2007
0209657,307,69,2009
0209710,1349,268,2009
0209710,1431,289,2011
0209710,1373,189,2016
0209710,1373,189,2015
0209710,1388,212,2014
0209710,1406,251,2013
0209710,1455,291,2012
0209710,1167,205,2001
0209710,1217,239,2002
0209710,1233,269,2003
0209710,1256,266,2004
0209710,1296,219,2005
0209710,1331,210,2006
0209710,1339,205,2007
0209710,1361,228,2008
0209710,1411,302,2010
0210150,113,47,2003
0210150,83,24,2016
0210150,119,49,2001
0210150,105,43,2002
0210150,110,56,2004
0210150,115,32,2005
0210150,119,37,2006
0210150,98,38,2007
0210150,101,37,2008
0210150,102,32,2009
0210150,108,39,2010
0210150,95,24,2011
0210150,85,33,2012
0210150,90,22,2013
0210150,81,21,2014
0210150,83,24,2015
0211690,20,12,2012
0211690,20,6,2014
0211690,22,8,2013
0211690,15,7,2016
0211690,15,7,2015
0211690,61,22,2001
0211690,54,25,2002
0211690,47,19,2003
0211690,41,17,2004
0211690,34,10,2005
0211690,32,10,2006
0211690,32,6,2007
0211690,31,7,2008
0211690,36,11,2009
0211690,32,19,2010
0211690,24,12,2011
0211800,46,12,2005
0211800,47,16,2003
0211800,50,16,2002
0211800,45,12,2001
0211800,49,11,2015
0211800,45,9,2014
0211800,49,11,2016
0211800,34,15,2013
0211800,31,14,2012
0211800,38,15,2011
0211800,40,11,2010
0211800,38,11,2009
0211800,45,12,2008
0211800,46,18,2007
0211800,39,14,2006
0211800,48,21,2004
0212350,17,4,2013
0212350,19,3,2014
0212350,19,8,2016
0212350,19,8,2015
0212350,18,7,2012
0212350,17,7,2011
0212350,17,7,2010
0212350,22,9,2009
0212350,25,7,2008
0212350,18,6,2007
0212350,15,7,2006
0212350,18,13,2005
0212350,16,8,2004
0212350,20,10,2003
0212350,19,9,2002
0212350,14,8,2001
0212680,258,53,2015
0212680,258,53,2016
0212680,228,82,2014
0212680,240,93,2013
0212680,244,97,2012
0212680,237,86,2011
0212680,218,81,2010
0212680,205,76,2009
0212680,225,70,2008
0212680,206,72,2007
0212680,195,71,2006
0212680,197,64,2005
0212680,185,66,2004
0212680,178,60,2003
0212680,181,59,2002
0212680,185,56,2001
0212920,2801,253,2014
0212920,2837,357,2012
0212920,2825,387,2011
0212920,2707,357,2010
0212920,2397,277,2009
0212920,2081,197,2008
0212920,2163,174,2007
0212920,2222,202,2006
0212920,2154,198,2005
0212920,1949,218,2004
0212920,1618,165,2003
0212920,1591,170,2002
0212920,1594,174,2001
0212920,2815,220,2016
0212920,2815,220,2015
0212920,2807,337,2013
0212970,17,1,2014
0212970,28,5,2013
0212970,30,1,2012
0212970,37,6,2011
0212970,31,4,2010
0212970,32,6,2009
0212970,39,7,2008
0212970,35,4,2007
0212970,35,3,2006
0212970,30,5,2005
0212970,27,4,2004
0212970,32,5,2002
0212970,33,6,2003
0212970,30,3,2001
0212970,16,2,2016
0212970,16,2,2015
0213230,420,115,2015
0213230,415,126,2014
0213230,434,143,2013
0213230,412,157,2012
0213230,413,168,2011
0213230,420,165,2010
0213230,409,141,2009
0213230,384,134,2008
0213230,358,117,2007
0213230,367,133,2006
0213230,342,89,2001
0213230,394,133,2005
0213230,396,132,2004
0213230,395,109,2003
0213230,370,106,2002
0213230,420,115,2016
0213340,115,37,2003
0213340,127,43,2002
